2015,2014,2015,2014
Shs’000,Shs’000,Shs’000,Shs’000
"1,579,920","1,980,353","1,579,920","1,980,353"
"39,172","35,801","39,172","35,801"
"(593,041)","(542,034)","(593,041)","(542,034)"
"188,026","105,800","188,026","105,800"
"1,214,077","1,579,920","1,214,077","1,579,920"
"2,273,989",-,"2,273,989",-
-,"2,257,500",-,"2,257,500"
"333,032","5,239","85,316","5,239"
"(152,122)",-,"(57,976)",-
"278,805","11,250","291,683","11,250"
"2,733,704","2,273,989","2,593,012","2,273,989"
"2,729,047",-,"2,729,047",-
-,"2,709,000",-,"2,709,000"
"102,399","6,547","102,399","6,547"
"(87,580)",-,"(87,580)",-
"350,053","13,500","350,053","13,500"
"3,093,919","2,729,047","3,093,919","2,729,047"
"7,041,700","6,582,956","6,901,008","6,582,956"
-,-,-,-
"5,169,790",-,"5,169,790",-
"71,480",-,"71,480",-
"(38,635)",-,"(38,635)",-
"260,546",-,"260,546",-
"5,463,181",-,"5,463,181",-
-,-,-,-
"2,458,650",-,"2,458,650",-
"39,003",-,"39,003",-
"99,996",-,"99,996",-
"2,597,649",-,"2,597,649",-
