NAME:,SKILLS AND EXPERIENCE:
Abdul Samji,"Accounting, management consultancy and advisory services"
Nasim Devji,"Financial services, audit, tax advisory, business management"
Pamella Ager,"Legal, commercial and advisory services"
Guedi Ainache,Audit and risk management and financial services
Shaffiq Dharamshi,Credit and risk management and financial services
Linus Gitahi,Strategy and business management and accounting
Rizwan Hyder,"Corporate and investment banking, risk management and financial services"
Moez Jamal,Treasury and advisory services and financial services
Irfan Keshavjee,Business and enterprise management
Ismail Mawji,"Accounting, insurance and advisory services"
Jamaludin Shamji,"Business management, strategy and administration"
