Stage 1,Stage 2,Stage 3,Column,Column
12-month ECL,Lifetime ECL,Lifetime ECL,POCI,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"198,165","19,505","3,479",-,"221,149"
"75,336","(6,930)","(68,406)",-,-
"(4,886)","26,395","(21,509)",-,-
-,-,-,-,-
(286),"(2,637)",-,-,"(2,923)"
-,-,-,-,-
"206,086","15,799",(352),-,"221,533"
"(227,118)","(20,753)","(273,151)",-,"(521,022)"
(705),-,-,-,(705)
"35,474","(30,887)","360,476",-,"365,063"
"282,066",492,537,-,"283,095"
"1,627,484","1,103,139","4,517,413",-,"7,248,036"
