Stage 1,Stage 2,Stage 3,POCI,Total
12-month ECL,Lifetime ECL,Lifetime ECL,,
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,428,384","1,110,424","4,576,690",-,"7,115,498"
"73,700","(610,738)","537,038",-,-
"(42,080)","42,407",(327),-,-
"(10,152)","(273,460)","283,612",-,-
-,-,"(938,931)",-,"(938,931)"
"235,663","992,386","2,466,787",-,"3,694,836"
"(694,917)","(541,872)","(1,258,657)",-,"(2,495,446)"
"(12,124)","(133,441)","5,611",-,"(139,954)"
"159,248","1,056,960","3,968,873",-,"5,185,081"
"1,137,722","1,642,666","9,640,696",-,"12,421,084"
