Up to 1,1-3,3-12,1-5,Over 5,Non-interest,Column
month,months,months,years,years,sensitive,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,-,-,"27,695,508","27,695,508"
"14,347,993","25,501,480","31,184,354","70,715,652","25,881,025",-,"167,630,504"
"5,997,671","3,951,346","1,264,018",-,-,"4,923,188","16,136,223"
"36,407,197","164,602,766","557,938","1,356,977",-,"17,500,457","220,425,335"
-,-,-,"1,289,691",-,"55,673","1,345,364"
-,-,-,-,-,"1,593,088","1,593,088"
"56,752,861","194,055,592","33,006,310","73,362,320","25,881,025","51,767,914","434,826,022"
"161,426,498","44,239,659","94,155,748","6,359,117",-,"25,270,651","331,451,673"
"13,542,627","1,143,011","14,073",-,-,"94,863","14,794,574"
-,"2,064,099","18,103,204",-,-,"4,149","20,171,452"
-,-,-,-,-,"11,137,820","11,137,820"
"37,260","56,210","291,206","3,436,110","557,734",-,"4,378,520"
"175,006,385","47,502,979","112,564,231","9,795,227","557,734","36,507,483","381,934,039"
"(118,253,524)","146,552,613","(79,557,921)","63,567,093","25,323,291","15,260,431","52,891,983"
