Up to 1,1-3,3-12,1-5,Over 5,Column
month,months,months,years,years,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"10,850,251","2,421,745","3,811,300","135,763",-,"17,219,059"
"11,054,018","22,945,982","16,638,629","72,025,111","33,870,245","156,533,985"
"3,850,679",-,-,-,-,"3,850,679"
"12,137,070","13,952,740","24,058,926","61,369,714","76,692,446","188,210,896"
"391,547","84,053","439,645",-,-,"915,245"
-,-,-,-,"1,339,691","1,339,691"
"38,283,565","39,404,520","44,948,500","133,530,588","111,902,382","368,069,555"
"115,785,770","38,877,268","74,905,313","772,674",-,"230,341,025"
"10,516,703","1,146,387","14,162",-,-,"11,677,252"
-,"950,550","11,448,896","7,802,224",-,"20,201,670"
"42,338","52,282","300,949","2,149,359","1,840,496","4,385,424"
"9,512,032",-,-,-,-,"9,512,032"
"135,856,843","41,026,487","86,669,320","10,724,257","1,840,496","276,117,403"
"(97,573,278)","(1,621,967)","(41,720,820)","122,806,331","110,061,886","91,952,152"
"63,554,349","32,572,799","62,438,621","99,005,801","76,421,420","333,992,990"
"169,383,649","14,869,344","76,586,597","63,597,101","3,282,632","327,719,323"
"(105,829,300)","17,703,455","(14,147,976)","35,408,700","73,138,788","6,273,667"
