Column,Buildings,"Leasehold
improvements","Motor
vehicles","Furniture
fittings &
equipment","Work in
progress",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"2,498,642","65,346","23,866","539,726","89,647","3,217,227"
,"11,379","7,041",-,"267,779","676,955","963,154"
,"22,702","29,285","11,437","398,536","(461,960)",-
,-,-,-,-,-,-
,-,-,-,-,-,-
,-,"(54,943)",-,"(16,361)",-,"(71,304)"
,-,"48,246",-,"14,555",-,"62,801"
,-,-,-,-,-,-
,"(46,513)","(27,559)","(9,908)","(325,236)",-,"(409,216)"
,"2,486,210","67,416","25,395","878,999","304,642","3,762,662"
,"2,532,723","669,535","129,137","4,385,363","304,642","8,021,400"
,"(46,513)","(602,119)","(103,742)","(3,506,364)",-,"(4,258,738)"
,"2,486,210","67,416","25,395","878,999","304,642","3,762,662"
"At 31 December 2022
Cost
Revaluation surplus
Cost or valuation",,,,,,
,"1,948,498","669,535","129,137","4,385,363","304,642","7,437,175"
,"584,225",-,-,-,-,"584,225"
,"2,532,723","669,535","129,137","4,385,363","304,642","8,021,400"
