Stage 1,Stage 2,Stage 3,Column,Column
12-month ECL,Lifetime ECL,Lifetime ECL,POCI,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"628,856","1,189,042","9,733,402",-,"11,551,300"
"103,157","(97,117)","(6,040)",-,-
"(18,761)","24,048","(5,287)",-,-
"(9,145)","(53,518)","62,663",-,-
-,-,"(1,872,341)",-,"(1,872,341)"
"385,309","783,863","2,352,346",-,"3,521,518"
"(273,385)","(819,791)","(353,213)",-,"(1,446,389)"
"19,666","(54,475)","(21,514)",-,"(56,323)"
"81,630","382,436","2,335,781",-,"2,799,847"
"917,327","1,354,488","12,225,797",-,"14,497,612"
