"Mandatorily at
FVPL","Designated at
FVPL","Investment at
FVOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"36,992,122","36,992,122"
-,"509,115","74,172,088","113,596,131","188,277,334"
-,-,-,"19,453,132","19,453,132"
-,-,-,"253,674,910","253,674,906"
-,-,"56,000",-,"56,000"
-,-,-,"2,611,244","2,611,244"
-,"509,115","74,228,088","426,327,539","501,064,738"
-,-,-,"387,562,471","387,562,471"
-,-,-,"26,678,946","26,678,946"
-,-,-,"3,786,278","3,786,278"
-,-,-,"25,512,526","25,512,526"
-,-,-,"4,303,857","4,303,857"
-,-,-,"447,844,078","447,844,078"
