Stage 1,Stage 2,Stage 3,Column,Column
12-month ECL,Lifetime ECL,Lifetime ECL,POCI,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"948,274","1,940,554","11,354,391",-,"14,243,219"
"101,818","(99,636)","(2,182)",-,-
"(10,541)","8,908","1,633",-,-
(271),"(53,518)","53,789",-,-
-,-,"(3,950,190)",-,"(3,950,190)"
"542,813","1,463,281","2,650,962",-,"4,657,056"
"(744,142)","(257,909)","868,928",-,"(133,123)"
"(364,013)","(53,036)","(21,514)",-,"(438,563)"
"334,790","(33,772)","2,760,942",-,"3,061,960"
"808,728","2,914,872","13,716,759",-,"17,440,359"
