"1,722,867","79,468","3,358,127","5,160,462",Column,Column,Column
-,-,-,-,,,
"1,722,867","79,468","3,358,127","5,160,462","1,312,670
417,708
11,236
(18,747)
-
-","83,268
-
13,587
(17,387)
-
-","3,557,719
-
325,587
(530,886)
(74,519)
80,226"
-,-,-,-,,,
-,-,"611,385","611,385",,,
"(30,851)","(41,580)","(535,692)","(608,123)",,,
-,-,"(160,195)","(160,195)",,,
-,-,"104,164","104,164",,,
"1,692,016","37,888","3,377,789","5,107,693","1,722,867","79,468","3,358,127"
,,,,"-
985,303","-
-","1,867,738
-"
"1,395,500",-,"1,784,519","3,180,019",,,
-,-,-,-,,,
"1,395,500",-,"1,784,519","3,180,019","985,303
417,708
11,236
(18,747)
-","-
-
-
-","1,867,738
-
180,174
(195,232)
(68,161)"
-,-,-,-,,,
-,-,"432,295","432,295",,,
"(30,851)",-,"(204,187)","(235,038)",,,
-,-,"(109,165)","(109,165)",,-,
"1,364,649",-,"1,903,462","3,268,111","1,395,500",-,"1,784,519"
