Statement of use,"DTB has reported the information cited in this GRI content index for the period 1 January to 31 December 2025 with
reference to the GRI Standards.",Column,Column
GRI 1 used,GRI 1: Foundation 2021,,
GRI STANDARD,DISCLOSURE,LOCATION,PAGE
GRI 2: General Disclosures 2021,2-1 Organisational details,About us,11
,"2-2 Entities included in the organisation’s sustainability
reporting",About our integrated report,5
,"2-3 Reporting period, frequency and contact point",About our integrated report,5
,2-5 External assurance,About our integrated report,5
,"2-6 Activities, value chain and other business
relationships",About us,12-13
,2-7 Employees,Our Impact Network,76
,2-8 Workers who are not employees,Our Impact Network,76
,2-9 Governance structure and composition,Guiding our Socio-economic Value Creation,86
,"2-10 Nomination and selection of the highest governance
body",Guiding our Socio-economic Value Creation,87
,2-11 Chair of the highest governance body,Guiding our Socio-economic Value Creation,87
,"2-12 Role of the highest governance body in overseeing
the management of impacts",Guiding our Socio-economic Value Creation,86
,2-13 Delegation of responsibility for managing impacts,Guiding our Socio-economic Value Creation,86
,"2-14 Role of the highest governance body in
sustainability reporting",Guiding our Socio-economic Value Creation,86
,2-15 Conflicts of interest,Guiding our Socio-economic Value Creation,86
,"2-17 Collective knowledge of the highest governance
body",Guiding our Socio-economic Value Creation,86
,"2-18 Evaluation of the performance of the highest
governance body",Guiding our Socio-economic Value Creation,87
,2-19 Remuneration policies,Guiding our Socio-economic Value Creation,87
,2-20 Process to determine remuneration,Guiding our Socio-economic Value Creation,87
