Kshs ‘000,Kshs ‘000
"10,328,503","12,296,877"
"1,862,705","1,172,878"
"(4,778,835)","(4,447,518)"
"(1,606,776)","(35,229)"
"5,805,597","8,987,008"
"(262,144)","(326,003)"
"178,000","195,000"
"3,479,592",-
"(4,557,674)","(8,193,911)"
"10,103,583","7,600,664"
"8,941,357","(724,250)"
"(9,625,960)","(4,534,570)"
"4,500,000","5,000,000"
"(11,715,761)","(10,542,205)"
"(16,841,721)","(10,076,775)"
"(2,094,767)","(1,814,017)"
"(2,924,795)","(1,110,778)"
"(2,094,767)","(1,814,017)"
"(5,019,562)","(2,924,795)"
