Column,Column,Year ended 30 June,Column
,Note,2018,2017
,,Kshs ‘000,Kshs ‘000
Revenue,6(a),"73,456,832","70,247,065"
Cost of sales,7(a),"(41,052,409)","(39,116,742)"
Gross profit,,"32,404,423","31,130,323"
Selling and distribution costs,7(a),"(6,423,767)","(5,375,078)"
Administrative expenses,8(a),"(8,534,844)","(8,249,140)"
"Other (expenses)/income, net",9(a),"(2,344,884)","(1,025,056)"
Finance income,12(a),"81,949","81,686"
Finance costs,12(a),"(3,441,067)","(3,255,402)"
Profit before income tax,10,"11,741,810","13,307,333"
Income tax expense,13(a),"(4,486,255)","(4,792,765)"
Profit for the year,,"7,255,555","8,514,568"
Profit attributable to:,,,
Equity holders of the Company,,"5,683,764","7,677,032"
Non-controlling interests,18,"1,571,791","837,536"
Profit for the year,,"7,255,555","8,514,568"
Earnings per share,,,
Basic and diluted (Kshs per share),15,7.19,9.71
