Column,"Freehold
property","Leasehold
buildings","Plant and
equipment","Capital work in
progress",Total
,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
Cost,,,,,
1 July 2016,"174,900","41,490","466,689","232,474","915,553"
Additions,-,-,"29,705","347,321","377,026"
Disposals,"(205,041)",-,"(102,700)","(62,729)","(370,470)"
Transfers from work in progress,"35,423",-,"11,665","(177,205)","(130,117)"
Transfers to/from Group Companies,"126,946",-,"(87,201)","(235,715)","(195,970)"
At 30 June 2017,"132,228","41,490","318,158","104,146","596,022"
Depreciation,,,,,
At 1 July 2016,"11,845","20,853","221,129",-,"253,827"
On assets disposed,"(149,345)","(5,640)","(102,700)",-,"(257,685)"
Transfers from/to Group Companies,"126,946",-,"(1,713)",-,"125,233"
Charge for the year,"14,201",-,"76,022",-,"90,223"
At 30 June 2017,"3,647","15,213","192,738",-,"211,598"
Carrying amount at 30 June 2017,"128,581","26,277","125,420","104,146","384,424"
