Column,Column,Year ended 30 June,Column
,Note,2018,2017
,,Kshs ‘000,Kshs ‘000
Revenue,6(b),"8,005,621","7,549,884"
Cost of sales,7(b),"(2,662,550)","(2,595,378)"
Gross profit,,"5,343,071","4,954,506"
Selling and distribution costs,8(b),-,"(15,395)"
Administrative expenses,8(b),"(1,656,329)","(1,893,385)"
"Other (expenses)/income, net",9(b),"(6,728,019)","(904,767)"
Finance income,12(b),"1,584,653","1,619,077"
Finance costs,12(b),"(3,881,863)","(4,019,349)"
Dividend income,,"7,798,813","9,723,594"
Profit before income tax,10,"2,460,326","9,464,281"
Income tax (expense)/credit,13(b),"(400,973)","557,722"
Profit for the year,,"2,059,353","10,022,003"
"Other comprehensive income, net of tax:",,,
Profit for the year,,"2,059,353","10,022,003"
"Other comprehensive income, net of tax",,-,-
Total comprehensive income for the year,,"2,059,353","10,022,003"
