"Freehold
property","Leasehold
buildings","Plant and
equipment","Returnable
packaging","Capital
work in
progress",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,
"4,611,690","3,047,596","38,439,923","13,829,816","4,553,792",
"177,011","37,509","2,075,654","1,370,384","9,368,176",
"258,557","41,103","1,011,850","684,444","(1,995,954)",
"(50,188)",-,"(40,128)","(153,786)",-,
-,-,-,-,"(41,013)",
-,-,-,"(1,807,349)",-,
"(9,859)","(150,598)","(1,092,307)","(293,200)","(53,204)",
"4,987,211","2,975,610","40,394,992","13,630,309","11,831,797",
"1,003,217","894,389","17,649,194","7,618,571",-,
"88,707","67,579","1,845,074","1,494,055",-,
"(18,130)",-,"(24,419)","(130,676)",-,
-,-,-,"(1,402,943)",-,
"(5,763)","(36,757)","(407,218)","(179,033)",-,
"1,068,031","925,211","19,062,631","7,399,974",-,
"3,919,180","2,050,399","21,332,361","6,230,335","11,831,797",
