Country,Nature,Currency,Amount ‘000,Column,Interest,Column,Column,Maturity
,,,2023,2022,Base,2023,2022,
,,,"3,800,000","6,333,333 Fixed Rate
- 182 Day Tbill +1.5%
- 182 Day Tbill +1.8%
3,000,000 CBR + 1%
- 182 Day Tbill +2.45%
- 91day t-bill+ 1.5%
38,000,000 182 Day Tbill +1.9%
38,000,000 182 Day Tbill +1.9%
33,000,000 182 Day Tbill +1.75%
- 182 Day Tbill +1.8%
50,000,000 182 Day Tbill +5.8%
- 182 Day Tbill +5.4%
- 182 Day Tbill +4%
1,874,775
- Fixed Rate",,9.00%,,
,,,"5,000,000",,,13.36%,,
,,,"15,000,000",,,13.66%,,
,,,"3,000,000",,,11.50%,,
,,,"2,400,000",,,10.86%,,
,,,"3,900,000",,,13.29%,,
,,,"34,833,333",,,12.90%,,
,,,"38,000,000",,,12.90%,,
,,,"33,000,000",,,12.26%,,
,,,"33,000,000",,,14.16%,,
,,,"50,000,000",,,9.88%,,
,,,"70,000,000",,,10.80%,,
,,,"15,000,000",,,11.40%,,
,,,"1,209,752",,,12.00%,,
,,,"11,000,000",,,12.25%,,
