Column,30-Jun-25,30-Jun-24
,Kshs 'M,Kshs 'M
Cash generated from operations,"35,651","34,615"
Net interest paid,"(5,859)","(8,031)"
Income tax,"(6,025)","(4,486)"
Net cash generated from operating activities,"23,767","22,098"
"Purchase of property, plant and equipment","(6,441)","(7,236)"
Other investing activities,(39),(24)
Net cash used in investing activities,"(6,480)","(7,260)"
Dividends paid,"(6,830)","(2,176)"
Net movement in borrowings,"(8,817)","(9,709)"
Net cash used in financing activities,"(15,647)","(11,885)"
Net increase in cash and cash equivalents,"1,640","2,953"
At start of the year,"10,815","9,043"
Foreign exchange impact of translation,289,"(1,181)"
Net increase in cash and cash equivalents,"1,640","2,953"
Cash and cash equivalents at end of the year,"12,744","10,815"
