Group,Level 1,Level 2,Level 3,Total
31 December 2018,"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
Financial assets fair value disclosures:,,,,
Investment securities – FVOCI,-,"142,435",-,"142,435"
Derivative financial assets,-,-,255,255
Loan notes at FVPL,-,-,"5,091","5,091"
Total financial assets at fair value,-,"142,435","5,346","147,781"
At 31 December 2017,,,,
Financial assets fair value disclosures,,,,
Investment securities – Available for sale,-,"107,470",-,"107,470"
Derivative financial assets,-,-,253,253
Loan notes at FVPL,-,-,"5,170","5,170"
Total financial assets at fair value,-,"107,470","5,423","112,893"
