Column,Class (as determined by the Group),Subclasses
Financial assets,,
"Financial assets at fair value through
profit or loss (FVTPL)",Financial assets held for trading,"Derivative financi
assets"
,"Financial assets designated at fair
value through profit or loss",Loan notes at FVTPL
,,"Investment securitie
designated at FVTPL"
,,Policy holders assets
,,"Insurance contra
liabilities"
Amortised cost,"Deposits and balances due from
financial institutions",
,Due from group companies,
,Loans and advances to customers,Term loans
,,Mobile loans
,,Credit cards
,,Mortgages
,,Overdrafts
,,Others
,Settlement and clearing accounts,
,Cash balances with central banks,
,Other assets,
,Investment securities,
"Financial assets at fair value through
other comprehensive income (FVOCI)",Investment securities,
,Employee benefit obligations,
Financial liabilities,,
Financial liabilities at amortised cost,Deposits due to other financial institutions,
,Deposits from customers,
,Other liabilities,
,Borrowed funds,
,Lease liabilities,
,Due to group companies,
Off-balance sheet financial instruments,,
Loan commitments,,
"Guarantees, acceptances and other financial liabilities",,
"Fair-value related disclosures for financial instruments that are measured at fair value or where fair value
are disclosed, are summarised in Note 5 to the financial statements.",,
