Column,"EQUITY BANK (K
LIMITED
BANK","ENYA)
EQUITY GROUP HOLDINGS PLC",Column,Column,Column
,,COMPANY,,GROUP,
"OTHER DISCLOSURES
1) NON-PERFORMING LOANS AND ADVANC
a) Gross non-performing loans and advance
b) Less interest in suspense
c) Total non-performing loans and advance
(a-b)
d) Less loan loss provision
e) Net non- performing loans (c-d)
f) Discounted value of securities
g) Net NPLs exposure (e-f)
2) INSIDER LOANS AND ADVANCES
a) Directors, shareholders and associates
b) Employees
c) Total insider loans and advances and oth
facilities
3) OFF BALANCE SHEET ITEMS
a) Letter of credit, guarantees and acceptanc
b) Forwards,swaps and options
c) Other contingent liabilities
d) Total contingent liabilities
4) CAPITAL STRENGTH
a) Core capital
b) Minimum statutory capital
c) Excess / (deficiency)
d) Supplementary capital
e) Total capital (a+d)
f) Total risk weighted assets
RATIOS
g) Core capital / total deposit liabilities
h) Minimum statutory ratio
i) Excess / (deficiency) (g-h)
j) Core capital / total risk weighted assets
k) Minimum statutory ratio
l) Excess / (deficiency) (j-k)
m) Total capital/ total risk weighted assets
n) Minimum statutory ratio
o) Excess / (deficiency) (m-n)
5) LIQUIDITY
a) Liquidity ratio
b) Minimum statutory ratio
c) Excess / (deficiency) (a-b)","31st Dec 3
2023
Shs. ‘000’ Sh
(Audited) (A
ES
s 79,843,366 92
14,329,307 21
s 65,514,059 71
26,170,407 35
39,343,652 36
37,130,716 35
2,212,936
6,905,870 6
8,956,106 9
er
15,861,976 15
es 127,673,031 75
16,139,706 2
-
143,812,737 77
126,923,078 132
1,000,000 1
125,923,078 131
40,872,907 16
167,795,985 149
892,998,939 846
16.4%
8.0%
8.4%
14.2%
10.5%
3.7%
18.8%
14.5%
4.3%
67.4%
20.0%
47.4%","1st Dec 31st Dec
2024 2023
s. ‘000’ Shs. ‘000’
udited) (Audited)
,985,027 -
,483,288 -","31st Dec
2024
Shs. ‘000’
(Audited)","31st Dec
2023
Shs. ‘000’
(Audited)
114,595,230
17,405,146","31st Dec
2024
Shs. ‘000’
(Audited)"
,,,-,,"121,997,045"
,,,-,,"26,039,630"
,,",501,739 -
,044,570 -",-,"97,190,084
42,675,317","95,957,415"
,,,-,,"51,661,585"
,,",457,169 -
,686,338 -",-,"54,514,767
51,927,211","44,295,830"
,,,-,,"43,525,000"
,,"770,831 -",-,"2,587,556","770,830"
,,",642,766 -
,158,521 -",,"9,130,517
17,218,269",
,,,-,,"8,317,725"
,,,-,,"19,089,037"
,,",801,287 -",-,"26,348,786","27,406,762"
,,",275,933 -
,667,361 -
- -",,"253,489,584
36,245,211
-",
,,,-,,"133,158,381"
,,,-,,"53,911,356"
,,,-,,-
,,",943,294 -",-,"289,734,795","187,069,737"
,,",336,448 -
,000,000 -
,336,448 -
,885,716 -
,222,164 -
,170,962 -
15.7% -
8.0% -
7.7% -
15.6% -
10.5% -
5.1% -
17.6% -
14.5% -
3.1% -
79.7% -
20.0% -
59.7% -",,"219,927,726
4,173,124
215,754,602
58,628,157
278,555,883
1,541,116,927
16.2%
8.0%
8.2%
14.3%
10.5%
3.8%
18.1%
14.5%
3.6%
53.4%
20.0%
33.4%",
,,,-,,"251,503,364"
,,,-,,"4,173,124"
,,,-,,"247,330,240"
,,,-,,"25,200,447"
,,,-,,"276,703,811"
,,,-,,"1,453,481,084"
,,,-,,18.0%
,,,-,,8.0%
,,,-,,10.0%
,,,-,,17.3%
,,,-,,10.5%
,,,-,,6.8%
,,,-,,19.0%
,,,-,,14.5%
,,,-,,4.5%
,,,-,,57.4%
,,,-,,20.0%
,,,-,,37.4%
