Column,FY 2024,FY 2025,Growth,"FY 2025
Constant
Currency",Growth
Assets,,,,,
Cash & Cash Equivalents,344.6,389.4,13%,395.2,15%
Government Securities,512.0,577.8,13%,579.5,13%
Net Loans,819.2,882.5,8%,887.5,8%
Other Assets,128.8,121.3,-6%,122.1,-5%
TToottaall AAsssseettss,"11,,880044..66","11,,997711..00",99%%,"11,,998844..33",1100%%
Liabilities & Capital,,,,,
Deposits,"1,399.7","1,457.8",4%,"1,467.0",5%
Borrowed Funds,74.3,82.1,10%,83.0,12%
Other Liabilities,83.7,105.0,25%,106.1,27%
Shareholders' Funds,246.9,326.1,32%,328.2,33%
TToottaall LLiiaabbiilliittiieess && CCaappiittaall,"11,,880044..66","11,,997711..00",99%%,"11,,998844..33",1100%%
