EBKL EBKL EBCDC EBCDC Group Group,Column,Column,Column,Column,Column
Q12024 Q12025 Q12024 Q12025 Q12024 Q12025,,,,,
Profitability,,,,,
"YieldonLoans 14.3%
YieldonGovernmentSecuri es 11.9%
YieldonInterestEarningAssets 12.6%
CostofDeposits 5.0%
CostofFunds 6.1%
NetInterestMargin 6.5%
CosttoIncomeRa owithprovisions 67.4%
CosttoIncomeRa owithoutprovisions 55.0%
RoAE 21.0%
RoAA 2.2%
AssetQuality",13.7%,"9.2%
16.6%
8.3%
1.4%
1.5%
6.8%
65.6%
50.4%
24.9%
2.9%",9.9%,"12.9%
12.0%
12.1%
3.4%
4.2%
7.9%
59.2%
47.1%
29.1%
3.6%",12.5%
,11.4%,,11.2%,,11.6%
,12.0%,,8.1%,,11.7%
,4.3%,,2.0%,,3.4%
,4.6%,,2.0%,,3.7%
,7.4%,,6.1%,,8.0%
,58.7%,,67.1%,,61.2%
,50.8%,,59.6%,,54.2%
,26.0%,,20.0%,,23.9%
,3.4%,,2.4%,,3.5%
"PAR 15.3%
NPLCoverage 68.5%
CostofRisk 2.3%
Leverage",19.0%,"8.7%
65.9%
3.5%",8.9%,"13.2%
68.6%
2.9%",14.0%
,63.2%,,72.3%,,67.0%
,1.8%,,1.6%,,1.7%
"Loan/DepositRa o 56.9%
CapitalAdequacyRa os",53.2%,53.4%,53.8%,63.0%,60.8%
"CoreCapitaltoRiskWeightedAssets 15.2%
TotalCapitaltoRiskWeightedAssets 19.0%
Liquidity",16.0%,"10.5%
12.1%",12.1%,"15.9%
19.3%",16.5%
,18.1%,,14.2%,,18.3%
Liquidityra o 72.6%,74.4%,130.8%,156.3%,52.1%,58.5%
