KESBillion,Q12024,Q12025,Growth,"Q12025
ConstantCurrency",Growth
InterestIncome,43.0,41.9,-3%,44.7,4%
InterestExpense,15.2,13.3,-12%,14.1,-7%
NetInterestIncome,27.8,28.6,3%,30.6,10%
Non-FundedIncome,22.3,19.6,-12%,23.2,5%
TotalIncome,50.1,48.2,-4%,53.8,7%
LoanLossProvision,6.1,3.4,-44%,3.3,-45%
StaffCosts,7.9,8.7,11%,9.4,20%
OtherOpera(cid:415)ngExpenses,15.7,17.4,11%,21.0,33%
TotalCosts,29.7,29.5,-1%,33.7,13%
ProfitBeforeTax,20.4,18.7,-8%,20.1,-1%
Tax,4.4,3.3,-24%,3.5,-18%
ProfitA(cid:332)erTax,16.0,15.4,-4%,16.6,3%
