Column,Subject,Column,Definition
Articles,,The Articles of Association of FTG Holdings Limited,
Board,,The Board of Directors of the Issuer,
Capital Markets Legislation,,"Means (a) the Capital Markets Act, Chapter 485A of the Laws of
Kenya and all subsidiary legislation and rules and guidelines
promulgated thereunder (b) the rules of the NSE (c) Companies Act
and (d) any law applicable to capital markets in Kenya",
CAGR,,Compounded Annual Growth Rate,
CBK,,Central Bank of Kenya,
CBR,,Central Bank Rate,
CCA,,Comparable Company Analysis,
CDSC,,"Central Depository and Settlement Corporation Limited. The Central
Depository System, a computer system operated by CDSC in
accordance with the Central Depositories Act, 2000 that facilitates
holding of securities in electronic accounts thereby facilitating faster
and easier processing of transactions at the NSE",
CEO,,Chief Executive Officer,
CMA,,"The Capital Markets Authority in Kenya, a statutory body incorporated
under the Capital Markets Act and includes anybody replacing it or any
of its functions",
Company,,FTG Holdings Limited,
The Group,,FTG Holdings Limited together with its Subsidiaries,
Companies’ Act,,The Companies Act 2001 (Laws of Mauritius),
DCF,,Discounted Cash Flow valuation methodology,
Directors or the Board,,"Directors of the Group whose names appear on page vii of this Listing
Statement",
DPS,,Dividend Per Share,
EBITDA,,Earnings Before Interest Tax Depreciation and Amortization,
EPS,,Earnings Per Share,
FCFF,,Free Cash Flow to Firm,
GDP,,Gross Domestic Product,
GEMS,,Growth Enterprise Market Segment of the NSE,
Issuer,,FTG Holdings Limited,
KES,,Kenya Shilling,
Listing,,Admission of the Shares to the GEMS,
Listing Price,,KES 8.00 per share,
Market Cap,,Market Capitalisation,
MPC,,Monetary Policy Committee,
NSE,,Nairobi Securities Exchange,
Share Capital,,"The stated capital of FTG Holdings amounting to KES 307,802,875
divided into 161,866,804 ordinary shares of KES 0.825 each and share
premium",
Subsidiaries,,"Flame Tree Africa Limited, Roto Moulders Limited, Happy Eaters
Kenya Limited, Cherry Styles Limited, Roto Plc, Rino Tanques Lda,
Roto Limited, Flame Tree Brands Limited, BuildMart Limited, Jojo
Plastics Limited and Cirrus International FZC, being the companies
which are wholly owned by the Issuer",
USD / US Dollar,,United States Dollar,
VAT,,Value Added Tax,
