No.,Name of,Constitutive,Relevant,Provision on borrowing powers,Variation of powers,Comments
,Company,document,clauses,,,
,,Articles of,Article 9, The directors may exercise all powers of the company to,Pursuant to the Companies Act,The effect of excluding
,,Association,,"borrow, lend and guarantee the repayment of money and to",(Chapter 486 of the Laws of,Regulation 79 of Table
,,,,"mortgage or charge or otherwise secure its undertaking,","Kenya), the Articles of",A of the Companies Act
,,,,"assets, property and uncalled capital or any part thereof and to",Association of the Company,is that the Company is
,,,,issue debenture stock and other securities and other,can be amended by a special,permitted to borrow
,,,,"instrument whether outright or as security, for any debt",resolution of the shareholders,more than the issued
,,,,liability or obligation of the company or of any third party.,of the Company.,share capital of the
,,,,Regulation 79 of Table “A” Part I shall not apply to the,,Company.
,,,,Company.,,
3.,Cherry Styles,Memorandum,Object,The Company may borrow or raise money whether or not for the,Pursuant to the Companies Act,-
,Limited (Kenya),,3.49,"purposes of the company (including by way of hire purchase,",(Chapter 486 of the Laws of,
,,,,"conditional sale, credit sale or any other such methods of","Kenya), the Memorandum of",
,,,,financing) from banking and financial institutions or other money,Association of the Company,
,,,,lending institutions or by other lawful means including by the issue,can be amended by a special,
,,,,"of debentures, debenture stock (perpetual or terminable) or bonds",resolution of the shareholders,
,,,,"and to secure or discharge any debt, liability or obligation of or",of the Company.,
,,,,binding on the company whether by way of guarantee or indemnity,,
,,,,"or otherwise (including, without limitation, pursuant to the",,
,,,,"borrowing or raising of money) by giving of mortgages , charges",,
,,,,"or other security founded, or based upon all or any of the property",,
,,,,"and rights of the Company, including its uncalled capital or",,
,,,,without any such security and upon terms as to priority or,,
,,,,otherwise as the Company shall think fit.,,
,,Articles,Article 9, The directors may exercise all powers of the company to,Pursuant to the Companies Act,The effect of excluding
,,,,"borrow, lend and guarantee the repayment of money and to",(Chapter 486 of the Laws of,Regulation 79 of Table
,,,,"mortgage or charge or otherwise secure its undertaking,","Kenya), the Articles of",A of the Companies Act
,,,,"assets, property and uncalled capital or any part thereof and",Association of the Company,is that the Company is
,,,,to issue debenture stock and other securities and other,can be amended by a special,permitted to borrow
