9:00am – 9:30am,Registration
9:05am – 9:10am,Opening Prayers
9:10am – 9:20am,Introductions and Welcome
9:20am – 9:50am,Reading the Notice Convening the Meeting and determine if quorum is present
9:50am – 10:10am,"To read, and if approved, adopt the Minutes of the previous Annual General Meeting held on 27th July,
2013"
10:10am – 10:40am,"To discuss the Matters Arising from the reading and confirmation of the minutes of the annual general
meeting held on 27th July, 2013"
10:40am – 11:00am,"To receive, consider and, if approved, adopt the Chairman’s Report"
11:00am – 11:20am,"To receive, consider and, if approved, adopt the CEO’s Report"
11:20am – 11:40am,"To receive, consider and, if approved, adopt the audited accounts for the year ended 31st December,
2013."
11:40am – 12:00pm,"To re-appoint Messrs. PKF Kenya, Auditors of the Company having expressed their willingness to con-
tinue in office and to authorise the directors to fix their remuneration."
12:00pm – 12:30pm,"To consider and adopt the retirement of three (3) directors who have retired from the board of directors
of the Company pursuant to Article 92 of the Articles of Association and have not offered themselves
for re-election."
,"To consider and elect three (3) persons who are eligible for election as directors of the Company under
Article 94 of the Articles of Association and whose notice has been duly given in accordance with Article
94 to replace the three (3) directors who have retired."
12:30pm – 12:50pm,To transact any other business of the Company whose due notice has been given
12:50pm – 1:00pm,Closing Prayers
