Condensed Statement of Cashflows,2014,2013
,Kshs.,Kshs.
Cash(used in) operations,"(245,951,086)","(276,958,716)"
Interest paid,"(12,576,936)","(9,873,700)"
Taxpaid,"(11,262,548)","(5,313,572)"
Net cash (used in) operating activities,"(269,790,570)","(292,172,988)"
Net cash(used in) investing activities,"(11,360,004)","(23,681,780)"
Net cashfrom financing activities,"566,625,785","186,168,642"
Increase/(decrease) in cashand cashequivalents,"285,475,211","(129,686,126)"
Cashand cashequivalents at the start ofthe year,"23,392,763","153,078,889"
Cashand cash equivalents at the end of the year,"308,867,974","23,392,763"
