NOTES TO THE,20,BALANCES DUE TO BANKING INSTITUTIONS,Column,Column,Column
FINANCIAL,,,,,
STATEMENTS,,Group,2000,1999,
continued,,,KShs'OOO,KShs'OOO,
,,Duewithin 90 days,"97,416","150,430",
,,,,,)
,,Company: Nil,,,
,,"Theabove balance represents bank overdraft and a loan to a subsidiary, Kenya Building",,,.J
,,Society limited. Theamounts are not secured.,,,
,21,CUSTOMERS' DEPOSITS,,,
,,Group and Company,2000,1999,
,,,KShs'OOO,KShs'OOO,
,a),From Government and Parastatals:,,,
,,Payable within 90 days,"773,190","750,633",
,,Payable after 90 days,,,
,,and withinone year,"167,181","589,783",
,,Payable after one year,"1,216,307","2,251,898",
,b),From private sector and individuals:,,,
,,Payable within 90 days,"8,278,693","6,001,117",
,,Payable after 90 days,,,
,,and withinone year,"465,366","707,739",
,,Payable after one year,"134,645","407,485",
,,,"11,035,382","10,708,655",
