Column,Stage 1,Stage 2,Stage 3,Column
,"12-month
ECL
Shs’ 000","Lifetime ECL
Shs’ 000","Lifetime ECL
Shs’ 000","Total
Shs’ 000"
,"42,984","86,683","3,477,370","3,607,037"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit
impaired
Transfer to lifetime ECL credit
impaired
Net remeasurement of loss
allowance
Net financial assets originated
Financial assets derecognised","(5,996)","5,603",393,-
,"23,949","(26,849)","2,900",-
,"32,647","111,247","-143,894",-
,"(51,516)","(86,035)","404,330","266,779"
,"44,208","263,935","83,783","391,926"
,"(8,225)","(4,738)","-341,850","(354,813)"
,-,-,"(279,678)","(279,678)"
"Loss allowance as
at end of year","78,051","349,846","3,203,354","3,631,251"
