IIS,TATEMENT OF COMPREHENSIVE INCOME,Bank,Column,Group,Column
,,,31.12.2022,"31.12.2021
Audited
(Ksh’000)
3,237,689
663,636
21,768",31.12.2022
,,,Audited,,Audited
,,,(Ksh’000),,(Ksh’000)
,,,"3,470,344",,"3,321,592"
,,,"937,923",,"937,884"
,,,"10,522",,"10,522"
,,,"-
4,418,788","-
3,923,093","-
4,269,998"
,,,,"1,529,199
168,375",
,,,"1,588,292",,"1,588,292"
,,,"159,304",,"148,740"
,,,"373,337
2,120,933","397,664
2,095,238","373,337
2,110,369"
,,,"2,297,856","1,827,855","2,159,629"
,,,,"130,434
177,912
48,350
-
181,430",
,,,"171,073",,"171,073"
,,,"131,311",,"131,311"
,,,"136,332",,"136,332"
,,,-,,-
,,,"189,492",,"440,978"
,,,"628,208","538,126","879,693"
,,,"2,926,064","2,365,981","3,039,322"
,,,"194,130","280,645
1,182,536
30,041
147,377
224,829
231,139
1,218,882","194,130"
,,,"1,174,123",,"1,330,440"
,,,"25,713",,"38,801"
,,,"51,895
146,166",,"53,957
148,105"
,,,"239,860",,"239,973"
,,,"993,506",,"837,256"
,,,"2,825,392
100,671","3,315,449
(949,468)","2,842,662
196,660"
,,,"(3,921)","(15,740)","(6,265)"
,,,"96,751
(10,152)","(965,209)
(24,992)","190,394
(25,582)"
,,,"91,624","307,454","100,758"
,,,"178,223","(682,746)","265,570"
,,,,"-
(299)
-
-
90
(209)",
,,,"-
(77,337)",,"-
(77,337)"
,,,"404,292",,"404,292"
,,,-,,-
,,,"(98,087)",,"(98,087)"
,,,"228,869",,"228,869"
,,,"407,091
46.69","(682,955)
(1.54)","494,439
0.92"
,,,,-,-
