Column,Level 1,Level 2,Level 3,Total
31 December 2023,Shs’000,Shs’000,Shs’000,Shs’000
Financial assets,,,,
Cash and balances with banks,-,"2,145,150",-,"2,145,150"
Placements with other banks,-,"607,391",-,"607,391"
Loans and advances,-,"38,787,793",-,"38,787,793"
Investment in government securities,"5,645,273",-,-,"5,645,273"
Non-financial assets,,,,
Investment properties,-,"1,885,000",-,"1,885,000"
,"5,645,273","43,425,334",-,"49,070,607"
Financial liabilities,,,,
Deposits from customers,-,"43,847,644",-,"43,847,644"
Deposits from banks,-,"3,193",-,"3,193"
Derivative liabilities,-,"1,570",-,"1,570"
,-,"43,852,407",-,"43,852,407"
