9 months period to 30 September 2021,"Share
capital
Kshs '000'
8 26,811
-
-","Share
premium
Kshs '000'
1 8,390,507
-
-","Revaluation
reserve
Kshs '000'
9 29,217
-
-","Fair value
Reserve
Kshs '000'
( 36,599)
-
( 545,622)","Statutory loans
reserve
Kshs '000'
5 ,867,908
-
1 ,715,750","Retirement
reserve
Kshs '000'
( 138,561)
-
2 6,991","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
3 9,610,553
5 ,447,184
( 1,716,487)","Translation
reserve
Kshs '000'
( 1,260,493)
-
( 225,290)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
3 ,873,796
2 90,806
1 5,786","Total
Kshs '000'"
"At 1 January 2021
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Issue of bonus shares - I&M Group PLC
Other transactions
Dividends Paid
Total transactions with owners for the period
Balance as at 30 September 2021",,,,,,,,,,,,
,,,,,,,"5 ,729,347",,,"6 4,189,343",,"6 8,063,139"
,,,,,,,-,,,"5 ,447,184",,"5 ,737,990"
,,,,,,,"1 ,742,741",,,"( 744,658)",,"( 728,872)"
,-,-,-,"( 545,622)","1 ,715,750","2 6,991","1 ,742,741","3 ,730,697","( 225,290)","4 ,702,526","3 06,592","5 ,009,118"
,"8 26,810
-
-","( 826,810)
( 2,068)
-","-
-
-","-
-
-","-
-
-","-
-
-",,"-
9 76,894
( 1,860,324)","-
-
-",,"-
2 4,771
-",
,,,,,,,-,,,-,,-
,,,,,,,-,,,"9 74,826",,"9 99,597"
,,,,,,,-,,,"( 1,860,324)",,"( 1,860,324)"
,"8 26,810","( 828,878)",-,-,-,-,-,"( 883,430)",-,"( 885,498)","2 4,771","( 860,727)"
,"1 ,653,621","1 7,561,629","9 29,217","( 582,221)","7 ,583,658","( 111,570)","7 ,472,088","4 2,457,820","( 1,485,783)","6 8,006,371","4 ,205,159","7 2,211,530"
For the year ended 31 December 2020,"Share
capital
Kshs '000'
826,811
-
-","Share
premium
Kshs '000'
18,390,507
-
-","Revaluation
reserve
Kshs '000'
875,985
-
53,232","Fair value
Reserve
Kshs '000'
( 273,802)
-
237,203","Statutory loans
reserve
Kshs '000'
5 ,518,392
-
3 49,516","Retirement
reserve
Kshs '000'
(101,042)
-
(37,519)","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
3 3,918,324
8 ,073,855
(333,558)","Translation
reserve
Kshs '000'
(1,416,566)
-
156,073","Total
Kshs '000'","Non controlling
interest
Kshs '000'
3,123,564
338,703
171,438","Total
Kshs '000'"
"At 1 January 2020
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the year
Balance as at 31 December 2020",,,,,,,,,,,,
,,,,,,,"5 ,417,350",,,"57,738,609",,"60,862,173"
,,,,,,,-,,,"8,073,855",,"8,412,558"
,,,,,,,"3 11,997",,,"424,947",,"596,385"
,-,-,"53,232","237,203","3 49,516","(37,519)","3 11,997","7 ,740,297","156,073","8,498,802","510,141","9,008,943"
,"-
-","-
-","-
-","-
-","-
-","-
-",,"6 0,299
(2,108,367)","-
-",,"347,799
(107,708)",
,,,,,,,-,,,"60,299",,"408,098"
,,,,,,,-,,,"( 2,108,367)",,"(2,216,075)"
,-,-,-,-,-,-,-,"(2,048,068)",-,"( 2,048,068)","240,091","(1,807,977)"
,"826,811","18,390,507","929,217","( 36,599)","5 ,867,908","(138,561)","5 ,729,347","3 9,610,553","(1,260,493)","64,189,343","3,873,796","68,063,139"
9 months period to 30 September 2020,"Share
capital
Kshs '000'
8 26,811
-
-","Share
premium
Kshs '000'
1 8,390,507
-
-","Revaluation
reserve
Kshs '000'
8 75,985
-
( 11,213)","Fair value
Reserve
Kshs '000'
( 273,802)
-
3 22,721","Statutory loans
reserve
Kshs '000'
5 ,518,392
-
1 ,772,775","Retirement
reserve
Kshs '000'
( 101,042)
-
( 29,116)","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
3 3,918,324
4 ,357,297
( 1,756,799)","Translation
reserve
Kshs '000'
( 1,416,566)
-
1 18,711","Total
Kshs '000'","Non controlling
interest
Kshs '000'
3 ,123,564
2 30,985
1 89,754","Total
Kshs '000'"
"At 1 January 2020
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the year
Balance as at 30 September 2020",,,,,,,,,,,,
,,,,,,,"5 ,417,350",,,"5 7,738,609",,"6 0,862,173"
,,,,,,,-,,,"4 ,357,297",,"4 ,588,282"
,,,,,,,"1 ,743,659",,,"4 17,079",,"6 06,833"
,-,-,"( 11,213)","3 22,721","1 ,772,775","( 29,116)","1 ,743,659","2 ,600,498","1 18,711","4 ,774,376","4 20,739","5 ,195,115"
,"-
-","-
-","-
-","-
-","-
-","-
-",,"6 0,299
(2,108,368)","-
-",,"(60,299)
(107,890)",
,,,,,,,-,,,"60,299",,-
,,,,,,,-,,,"( 2,108,368)",,"(2,216,258)"
,-,-,-,-,-,-,-,"( 2,048,069)",-,"( 2,048,069)","( 168,189)","( 2,216,258)"
,"8 26,811","1 8,390,507","8 64,772","4 8,919","7 ,291,167","( 130,158)","7 ,161,009","3 4,470,753","( 1,297,855)","6 0,464,916","3 ,376,114","6 3,841,030"
- - - - - - - - - -,,,,,,,,,,,,
