Column,Group,Column,Company,Column
Note,2024,2023,2024,2023
,Kshs ‘000,,Kshs ‘000,
,"68,105,524",,"301,894",
,"(30,543,156)",,-,
,"37,562,368",,"301,894",
,"7,941,432",,-,
,"(985,348)",,-,
,"6,956,084",,-,
,"44,518,452",,"301,894",
,"3,757,263",,"(84,028)",
,"1,957,794",,"4,607,564",
,"50,233,509",,"4,825,430",
,"(7,818,349)",,(208),
,"42,415,160",,"4,825,222",
,"(9,199,035)",,-,
,"(651,218)",,-,
,"(9,628,856)",,"(44,591)",
,"(3,056,665)",,-,
,"(22,535,774)",,"(44,591)",
,"19,879,386",,"4,780,631",
,"896,971",,-,
,"20,776,357",,"4,780,631",
,"(4,122,608)",,"(49,918)",
,"16,653,749",,"4,730,713",
