Column,31/03/2025,Column,"31/12/2024
(AUDITED)",Column
8. Restructured loans,,,,
a. No. of borrowers,633,,666,
b. Amount outstanding (Frw ‘000),"17,974,366",,"30,073,765",
"c. Provision thereon (Frw ‘000)
(regulatory):","1,700,430",,"1,086,993",
"d. Restructured loans as % of gross
loans",3.6%,,6.4%,
III. Liquidity,,,,
a. Liquidity Coverage ratio (LCR),427%,,430%,
b. Net Stable Funding ratio (NSFR),160%,,165%,
IV. Operational Risk,,,,
Number and types of frauds and their corresponding amount,,,,
Type,No,"Amount
FRW’000",No,"Amount
FRW’000"
"External - Use of forged payment
order",-,-,6,"153,448"
"Internal - Use of forged payment
order",-,-,-,-
Internal - Theft,-,-,1,"2,692"
"Hybrid (Internal&External)-Use of
forged loan request documents",-,-,-,-
V. Market Risk,,,,
1. Interest rate risk,"2,079,998",,"2,035,487",
2. Equity position risk,-,,-,
3. Foreign exchange risk,"1,004,520",,"992,397",
VI. Country Risk,,,,
1. Credit exposures abroad,"227,512,023",,"149,628,737",
2. Other assets held abroad,-,,-,
3. Liabilities to abroad,"17,792,732",,"21,179,606",
"VII. Management and Board
Composition",,,,
a. Number of Board members,8,,9,
"b. Number of independent
directors",5,,6,
"c. Number of non-independent
directors",3,,3,
d. Number of female directors,3,,3,
e. Number of male directors,5,,6,
f. Number of Senior Managers,11,,10,
"g. Number of female senior
managers",5,,5,
"h. Number of male senior
managers",6,,5,
