Column,BANK
,AUDITED
,DECEMBER
,2009
,(KSHS’000)
"1,930,125
186,332",
,"1,073,199"
,"222,932"
"1,743,793
179,549","850,267"
,"253,736"
"1,564,244","596,531"
"1,564,244","596,531"
0,0
"42,081
107,783",
,"325,180"
,"145,138"
"149,864","470,318"
"12,927,060
6,189,436",
,"13,543,849"
,"4,619,163"
"19,116,496","18,163,012"
"3,932,774
250,000",
,"5,923,387"
,"350,000"
"3,682,774
600,000","5,573,387"
,"600,000"
"4,532,774","6,523,387"
"35,914,109","34,865,552"
"13.48%
8.00%",
,16.92%
,8.00%
5.48%,8.92%
"10.95%
8.00%",
,16.99%
,8.00%
2.95%,8.99%
"12.62%
12.00%",
,18.71%
,12.00%
0.62%,6.71%
"24.83%
20.00%",
,43.68%
,20.00%
4.83%,23.68%
