GROUP,Column,Column
UAUDITED,AUDITED,UNAUDITED
"30-Jun
2019
KShs '000'","31-Dec
2018
KShs '000'","30-Jun
2018
KShs '000'"
"12,684,054
(5,666,396)","25,998,868
(10,404,686)","11,654,349
(4,788,586)"
"7,017,658","15,594,182","6,865,763"
"2,117,746
(123,757)","3,936,092
(258,305)","1,997,606
(113,568)"
"1,993,989","3,677,787","1,884,038"
"9,011,647
2,042,071
376,514","19,271,969
3,107,748
553,501","8,749,801
1,477,452
244,997"
"1 1,430,232","2 2,933,218","1 0,472,250"
"(1,108,719)","(3,807,345)","(1,411,851)"
"1 0,321,513","1 9,125,873","9 ,060,399"
"(2,326,143)
(383,325)
(1,381,276)
(415,198)","(4,108,876)
(748,058)
(2,769,620)
(596,849)","(2,079,133)
(364,501)
(1,426,208)
(291,994)"
"(4,505,942)","(8,223,403)","(4,161,836)"
"5,815,571
404,069","10,902,470
595,310","4,898,563
499,477"
"6,219,640
(1,693,773)","11,497,780
(2,994,423)","5,398,040
(1,529,929)"
"4,525,867","8,503,357","3,868,111"
"211,979","( 905,276)","(1,593,863)"
"4,737,846","7,598,081","2 ,274,248"
"4,292,152
233,715","7,950,819
552,538","3 ,629,840
2 38,271"
"4,525,867","8,503,357","3 ,868,111"
"4,507,815
230,031","7,240,716
357,365","2 ,212,005
62,243"
"4,737,846","7,598,081","2 ,274,248"
