"83,557","48,446","2,514","134,517"
"97,697","2,668,000","987,088","3,752,785"
"871,263","1,305,068","3,952,235","6,128,566"
"69,614","12,750","14,279","96,643"
"1,432,482","4,914,660","570,081","6,917,223"
"5,913","16,403",-,"22,316"
-,"398,836",-,"398,836"
"2,713,665","10,394,918",-,"13,108,583"
"351,598","658,441",-,"1,010,039"
"3,571,707","342,439",-,"3,914,146"
"4,416,038","174,151",-,"4,590,189"
"143,002",-,-,"143,002"
"671,872","156,212","22,539","850,623"
"6,948",-,"164,842","171,790"
"2,446,702","3,061,582","32,639","5,540,923"
"226,756","188,942","61,661","477,359"
"17,108,814","24,340,848","5,807,878","47,257,540"
"12,242","64,878","52,514","129,634"
"5,196,972","6,990,631",-,"12,187,603"
-,"16,485,196",-,"16,485,196"
"5,338,620",-,-,"5,338,620"
-,"38,950",-,"38,950"
"1,559,166","88,462",-,"1,647,628"
"544,009","510,475","219,528","1,274,012"
-,-,"1,295,706","1,295,706"
"157,408",-,"3,094","160,502"
"12,808,417","24,178,592","1,570,842","38,557,851"
"4,300,397","162,256","4,237,036","8,699,689"
