"118,935","46,100","35,778","7,669","9,172","217,654"
"137,999",-,"22,124","3,302",-,"163,425"
"4,180,000","1,444,814","298,299",-,"88,768","6,011,881"
"6,832,602","2,430,603",-,-,-,"9,263,205"
"113,449","55,954","3,720","6,132",432,"179,687"
"8,357,653","129,694","50,507",-,-,"8,537,853"
"77,641","2,228",-,-,-,"79,869"
"689,641","19,898","5,358",-,"1,470","716,367"
"36,310,956","2,025,462","1,115,345",-,"214,349","39,666,112"
"1,422,260","1,418",-,-,-,"1,423,678"
"4,755,866","1,307,017","1,182,655","293,893","77,117","7,616,548"
"3,390,698","1,573,986","1,589,303","161,846","176,127","6,891,960"
"252,832","(27,513)","(20,004)","26,448","(9,921)","221,842"
"950,607","100,538","76,111","107,401","6,408","1,241,065"
"114,232",888,-,-,"8,894","124,014"
"4,911,725","1,425,676","557,293","22,721","330,208","7,247,623"
"175,924","457,033","32,960","198,669","100,374","964,960"
"72,793,020","10,993,796","4,949,449","828,081","1,003,398","90,567,743"
"76,056","13,803","72,265","1,065",-,"163,189"
"16,743,293","1,875,682","1,355,696","190,010","116,380","20,281,061"
"35,101,537","236,255","423,849",-,"226,713","35,988,354"
"5,566,177","1,222,715","1,431,059","337,009","151,839","8,708,799"
"282,915","10,109",-,-,-,"293,024"
"590,788","345,013","170,444","34,918","195,089","1,336,252"
"1,393,658","455,119","320,099","29,715","37,671","2,236,262"
"58,758","52,182","19,339",-,"8,854","139,133"
-,-,-,-,-,-
"59,813,182","4,210,878","3,792,751","592,717","736,546","69,146,074"
"12,979,838","6,782,918","1,156,698","235,364","266,852","21,421,669"
