-,"163,486","204,280","69,047",-,"436,813"
-,-,-,"26,448",-,"26,448"
"569,395","1,425,676","557,293","22,721","330,208","2,905,293"
-,"457,033","32,808","198,669","100,374","788,884"
"569,395","2,046,195","794,381","316,885","430,582","4,157,438"
-,"1,222,715","1,431,059","337,009","151,839","3,142,622"
-,"1,875,682","1,355,696","190,010","116,379","3,537,767"
-,"27,513","20,004",-,"9,921","57,438"
-,"345,013","170,444","34,918","195,089","745,464"
-,-,-,-,-,-
-,"3,470,923","2,977,203","561,937","473,228","7,483,291"
"569,395","(1,424,728)","(2,182,822)","(245,052)","(42,646)","(3,325,853)"
