Column,Column,Total,"FV Through FV Through
P/L OCI",Total
2018,2018,2018,"2017 2017
KShs’000 KShs’000","2017
KShs’000"
KShs’000,KShs’000,KShs’000,,
"6,853,603","1,276,691","8,130,294","4,644,331 983,598","5,627,929"
"207,111",-,"207,111","9,620 97,190
(115,194) -
- -
- 195,682
2,314,846 -
- 221","106,810
(115,194)
-
195,682
2,314,846
221"
"(133,504)","(70,916)","(204,420)",,
"(766,843)","766,843",-,,
-,"(348,043)","(348,043)",,
"(1,214,788)",-,"(1,214,788)",,
-,"(6,847)","(6,847)",,
"4,945,579","1,617,728","6,563,307","6,853,603 1,276,691","8,130,294"
