Up to 1,1 to 3,3 to 12,Over,Discounting,Column
month,months,months,1 year,effect,Total
KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
-,-,"16,107","66,490","(16,496)","66,101"
"11,220","21,406","126,427","887,517","(114,857)","931,713"
"120,539","3,125,956","5,943,083","47,699,079","(1,648,031)","55,240,625"
-,-,-,"885,936","(44,537)","841,399"
"292,301","1,103,932",-,-,-,"1,396,233"
"2,511,659","1,885,803","1,739,621","1,108,985",-,"7,246,068"
"1,743,656","9,658,894","2,501,317",-,-,"13,903,868"
"4,679,375","15,795,992","10,326,555","50,648,007","(1,823,921)","79,626,007"
"1,063,666","5,188,285","3,781,085","25,609,766","(10,103,725)","25,539,077"
"454,297","1,511,262","11,370,747","54,719,932","(20,317,237)","47,739,002"
"31,721","52,291","56,633","60,856",-,"201,501"
"688,956","475,404","426,206","235,296",-,"1,825,863"
"1,161,980","946,351","728,210","134,396",-,"2,970,937"
"3,400,619","8,173,594","16,362,882","80,760,246","(30,420,962)","78,276,380"
"1,278,755","7,622,397","(6,036,327)","(30,112,239)","28,597,041","1,349,627"
