US,Uganda,Tanzania,Mauritius,Burundi
Dollar,Shillings,Shillings,Rupees,Francs
Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
-,"13,163,173",-,-,-
-,-,"1,962,210",-,-
-,-,-,"322,737",-
-,-,-,-,"600,304"
-,-,-,-,-
"7,565,155",-,-,-,-
"2,733,928",-,-,-,-
"96,551",-,-,-,-
"10,395,634","13,163,173","1,962,210","322,737","600,304"
-,"(1,622,091)","(952,796)","(64,858)","(174,534)"
"10,395,634","11,541,082","1,009,414","257,879","425,770"
109.1718,33.3812,21.2418,2.7779,17.7689
106.4676,34.9344,21.7616,2.7134,17.9711
