General,Health,"Ordinary, Group
Life & Pensions",Investments,Total
"1,527,859","13,824,156","10,052,844",-,"25,404,859"
"(905,081)","(3,006,789)","(846,323)",-,"(4,758,193)"
"622,778","10,817,367","9,206,521",-,"20,646,666"
"24,842","1,031,772","13,255,144","2,967,902","17,279,660"
-,"11,618","(2,309,151)","282,500","(2,015,033)"
"92,127","624,954","156,448",-,"873,529"
"739,747","12,485,711","20,308,962","3,250,402","36,784,822"
"(446,950)","(10,583,717)","(15,624,124)",-,"(26,654,791)"
"108,528","2,361,718","533,957",-,"3,004,203"
"(338,422)","(8,221,999)","(15,090,167)",-,"(23,650,588)"
"(181,467)","(2,047,291)","(2,341,915)","(235,508)","(4,806,181)"
"(133,152)","(1,509,028)","(1,537,818)",-,"(3,179,998)"
"(314,619)","(3,556,319)","(3,879,733)","(235,508)","(7,986,179)"
"86,706","707,393","1,339,062","3,014,894","5,148,055"
-,"(2,242)",(49),"(102,888)","(105,179)"
-,"145,738","197,488","2,144,440","2,487,666"
"86,706","850,889","1,536,501","5,056,446","7,530,542"
"(22,100)","(202,315)","(220,362)","(516,487)","(961,264)"
"64,606","648,574","1,316,139","4,539,959","6,569,278"
