Column,Column,2023,Restated 2022
,Note,Kes '000,Kes '000
Insurance Revenue,6,"22,777,897","21,090,871
(19,644,329)"
Insurance Service expense,7,"(21,825,894)",
Insurance service result from insurance contracts issued,,"952,003","1,446,542"
,,,"(1,691,403)
1,660,570"
Allocation of reinsurance premiums paid,8(i),"(1,782,865)",
Amounts recovered from reinsurance contracts,8(ii),"1,507,280",
Net expenses from reinsurance contracts held,,"(275,585)","(30,833)"
Insurance Service results,,"676,418","1,415,709"
,,,"12,119,145
(675,248)
(277,989)
851,758
145,743
828,424
(100,103)"
Interest revenue from financial assets not measured at FVTPL,9,"14,035,911",
Net losses on FVTPL investments,14,"(1,807,415)",
Net gains from fair value adjustments to investment properties,16,"107,784",
Investment income,10,"822,099",
Gain on sale of investments at FVTPL,10,"293,223",
Foreign exchange gain,10,"828,385",
Allowance for expected credit losses,,"(4,290)",
Net Investment Income,,"14,275,697","12,891,730"
,,,"(10,935,096)"
Finance expenses from insurance contracts issued,12,"(11,053,104)",
Net Insurance Finance expenses,,"(11,053,104)","(10,935,096)"
Net insurance and investment result,,"3,899,011","3,372,343"
,,,"2,157,498
22,844
(1,258,271)"
Gain on disposal of subsidiaries,39,"246,866",
Other Income,11,"119,918",
Other operating expenses (non-attributable),13,"(1,609,495)",
Total expenses and other Income,,"(1,242,711)","922,071"
,,,"2,487,666
(263,026)"
Share of associates profit,17 (i),"2,793,114",
Other Finance cost,38 (ii),"(138,753)",
Group profit before income tax,,"5,310,661","6,519,054"
Income tax expense,18 (i),"(894,748)","(1,010,172)"
Net Profit,,"4,415,913","5,508,882"
Profit for the year,,,
Attributable to:,,,"5,402,186
106,696"
Equity holders of the company,,"4,298,674",
Non-controlling interest,17 (iii),"117,239",
Total,,"4,415,913","5,508,882"
Earnings Per Share (Kes),,,75
Basic and diluted,13(iv),59,
