Year ended 31 December 2022,Column,Maximum insured loss,Column,Column,Column,Column
Class of business,,,,,,Total
Short-term business,,"Kes 0 m -
Kes 15m","Kes 15m -
Kes 250m","Kes 250m -
Kes 1000m",Kes 1000m +,
,,Kes'000,Kes'000,Kes'000,Kes'000,Kes'000
Corporate,"Gross
Net","432,230
432,230","28,869,381
28,052,145","38,753,040
38,753,040","109,231,458
109,231,458","177,286,109
176,468,873"
SME,"Gross
Net","3,757,615
3,752,913","17,186,237
17,186,237","2,295,392
2,295,392",-,"23,239,244
23,234,542"
Personal,Gross,"38,318,142","243,567",-,-,"38,561,709"
,Net,"38,283,947","243,567",-,-,"38,527,514"
Long-term business,,,,,,
Ordinary life,Gross,"29,103,575","21,260,241","91,467","89,861","50,545,144"
,Net,"28,771,997","21,068,031","6,343","3,172","49,849,543"
Group life,Gross,"674,241,979","519,482,769","5,914,715","992,431","1,200,631,894"
,Net,"445,486,301","135,564,152","3,650,147","26,747","584,727,347"
Total,Gross,"745,853,541","587,042,195","47,054,614","110,313,750","1,490,264,099"
,Net,"516,727,388","202,114,132","44,704,922","109,261,377","872,807,819"
