Group Balance Sheet (KShs. M),Column,Column,Column,Column
,"AUDITED
Dec 2011","UN-AUDITED
JUN 2011","UN-AUDITED
JUN 2012","%
Change"
Assets,,,,
Cash and balances with Central Bank,"27,253","17,867","29,161",63%
Balances with other institutions,"41,267","21,297","39,583",86%
Investments in Government securities,"43,591","45,931","61,003",33%
Investment securities,"2,414","2,090","2,391",14%
Net loans and advances,"198,725","175,204","202,068",15%
Fixed assets,"9,683","10,069","9,704",(4%)
Other assets,"7,783","7,258","5,365",(26%)
Total Assets,"330,716","279,716","349,275",25%
Liabilities,,,,
Customer deposits,"259,309","215,738","278,545",29%
Balances due to other banks,"14,105","19,974","11,098",(44%)
Other liabilities,"4,412","5,569","4,775",(14%)
Long-term debt,"8,525",-,"8,430",>100%
Total Liabilities,"286,351","241,281","302,848",26%
Share capital,"2,969","2,950","2,969",1%
Proposed dividends,"5,492",-,-,-
Reserves and premium,"35,904","35,485","43,458",22%
Shareholders Equity,"44,365","38,435","46,427",21%
Total Liabilities and Equity,"330,716","279,716","349,275",25% 16
