Column,"AUDITED
Dec 2010","AUDITED
Dec 2011",% Change
Net interest income,"19,645","23,286",19%
Foreign exchange income,"2,775","3,608",30%
Fees and commissions,"6,789","9,185",35%
Other income,426,881,107%
Total operating income,"29,635","36,960",25%
Total operating expenses,"(18,719)","(22,283)",19%
Profit before provisions & tax,"10,916","14,677",34%
Provisions for bad debts,"(2,144)","(1,897)",(12%)
Bad debts recovered,"1,026","2,349",129%
Profit before tax,"9,798","15,129",54%
Tax,"(2,620)","(4,148)",58%
Profit after tax,"7,178","10,981",53%
