"Investments in subsidiaries:
Incorporated in Kenya:
Company",Activity,"Beneficial
ownership
%","2014
KShs’000","2013
KShs’000"
Kenya Commercial Finance Co. Ltd,Dormant,100,"150,000","150,000"
KCB Capital,Investment,100,"250,000",-
Savings and Loan Kenya Ltd,Dormant,100,"500,000","500,000"
KCB Foundation,Corporate Social Responsibility,100,-,-
Kenya Commercial Bank Nominees Ltd,Nominee Shareholders,100,-,-
Kencom House Ltd,Property Ownership and Management,100,"748,645","748,645"
KCB Insurance Agency Ltd,Insurance Brokerage,100,100,100
Incorporated outside Kenya:,,,,
KCB Bank Tanzania Limited,Commercial Banking,100,"2,245,585","2,035,587"
KCB Bank South Sudan Limited,Commercial Banking,100,"1,919,400","1,025,649"
KCB Bank Rwanda Limited,Commercial Banking,100,"1,882,584","1,746,908"
KCB Bank Burundi Limited,Commercial Banking,100,"936,517","936,517"
KCB Bank Uganda Limited,Commercial banking,100,"2,683,986","2,683,986"
Investment in associates:,,,,
United Finance Ltd,Dormant,45,125,125
,,,"11,316,942","9,827,517"
