KShs Millions,KCB BANK KENYA,Column,Column,KCB GROUP,Column,Column
,"Actual
Sep - 16","Actual
Sep - 15","Y-O-Y
Change","Actual
Sep - 16","Actual
Sep - 15","Y-O-Y
Change"
Interest Income,"43,359","34,513",26%,"48,591","39,664",23%
Interest Expense,"10,442","9,780",7%,"12,450","11,306",10%
Net interest income,"32,917","24,732",33%,"36,141","28,359",27%
Foreign exchange income,"1,618","1,730",(6%),"2,399","2,927",(18%)
Net fees and commissions,"6,890","6,785",2%,"9,492","10,324",(8%)
Other income,"1,837","1,359",35%,"1,936","1,724",12%
Total operating income,"43,262","34,606",25%,"49,968","43,333",15%
Total operating expenses,"18,977","16,819",13%,"24,001","22,445",7%
Net provisions for bad debts,"2,577",771,>100%,"3,022","1,493",102%
Profit before tax,"21,708","17,015",28%,"22,944","19,395",18%
Tax,"6,512","5,105",28%,"6,997","5,470",28%
Profit after tax,"15,196","11,911",26%,"15,947","13,925",15%
