KShs Millions,KCB BANK KENYA,Column,Column,KCB GROUP,Column,Column,KCB Group (Restated),Column
,"Actual
1Q-16","Actual
1Q-17","Y-O-Y
Change","Actual
1Q-16","Actual
1Q-17","Y-O-Y
Change","Actual
1Q-16
(Restated)","Y-O-Y
Change
(Restated)"
Interest Income,"14,390","12,415",-14%,"16,040","14,114",(12%),"16,270",(13%)
Interest Expense,"4,547","2,943",-35%,"5,181","3,769",(27%),"5,188",(27%)
Net interest income,"9,843","9,471",-4%,"10,859","10,345",(5%),"11,081",(7%)
Foreign exchange income,447,589,32%,747,"1,285",72%,"1,918",(33%)
Net fees and commissions,"2,160","2,468",14%,"3,026","3,455",14%,"3,336",4%
Other income,737,719,-2%,853,824,(3%),900,(8%)
Total operating income,"13,187","13,247",0%,"15,484","15,909",3%,"17,235",(8%)
Total operating expenses,"5,955","6,239",5%,"7,501","7,849",5%,"8,386",(6%)
"Net provisions for bad
debts","1,240",774,-38%,"1,369",958,(30%),"1,460",(34%)
"Profit Before Loss on
Monetary Position","5,992","6,234",4%,"6,614","7,101",7%,"7,389",(4%)
Loss on Monetary Position,-,-,-,-,509,,994,(49%)
Profit before tax,"5,992","6,234",4%,"6,614","6,592",0%,"6,395",3%
Tax,"1,797","1,746",-3%,"1,984","2,050",3%,"1,984",-
Profit after tax,"4,194","4,489",7%,"4,630","4,542",(2%),"4,411",3%
