KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC (COMPANY),Column,KCB GROUP PLC (CONSOLIDATED)
"30-Sep-20
Kshs 000
Un-audited","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
6,074,983 7,012,397 8,412,261 7,254,944
39,115,841 36,538,551 33,809,960 42,312,438
- 1,018,114 - -
- - - -
51,069,643 53,226,189 53,102,746 53,206,441
- - - -
96,905,532 89,878,296 63,639,829 59,188,619
1,724,468 1,698,705 1,613,175 2,087,904
4,991,259 6,077,642 10,276,990 8,852,050
15,080,084 15,603,672 4,108,445 7,326,225
- - 458,286 86,464
464,006,913 463,085,623 447,154,955 442,008,582
4,926,699 3,892,669 4,818,740 3,619,278
- - - -
- - - -
- - - -
- - - -
10,023,093 10,359,302 10,104,529 7,541,919
123,268 123,894 124,516 125,141
5,177,506 4,992,174 4,918,474 4,541,429
9,232,651 9,216,872 8,684,284 9,885,944
- - - 658,000
21,840,874 26,189,737 23,074,530 18,998,308","30-Sep-20
Kshs 000
Un-audited","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
1,292,929 1,736,165 1,333,800 1,326,594
9,456,491 3,800,171 11,346,712 5,559,634
- - - -
- - - -
- - - -
34,555,655 37,231,962 37,116,751 17,457,598
- - - -
9,445,632 7,417,750 - 19,523,109
- - - -
1,054,278 1,051,419 1,050,939 1,075,160
1,181,205 395,444 1,606,864 1,245,784
304,204 231,360 237,713 467,834
50,273,213 47,879,059 45,871,701 47,852,523
- - - -
547,967 480,881 515,910 479,465
19,963 19,963 19,963 19,963
- - - -
- - - -
4,337,707 4,432,535 4,547,631 4,276,474
- - - -
882,274 975,331 1,041,333 1,148,139
2,472,655 3,024,490 3,103,595 2,192,185
- - - -
3,401,285 5,120,226 4,235,835 4,592,262","30-Sep-20
Kshs 000
Un-audited","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
24,473 25,240 25,356 27,216
1,535,438 1,432,715 1,177,914 958,765
- - - -
28,743 27,834 27,352 13,373
- - - -
- 5,997,303 6,335,793 1,691,241
- - - 125
79,227,397 79,227,397 79,227,397 68,036,500
- - - -
- - - -
616,984 611,821 606,651 693,796
- - - -
8,610 9,117 9,623 -
9,906 69 1,221 -
- - - -
309,365 326,992 38,354 68,020","30-Sep-20
Kshs 000
Un-audited"
"6,956,633",,"1,160,787",,-,,"12,553,003"
"31,271,928",,"4,799,532",,-,,"36,071,460"
-,,-,,-,,-
-,,-,,-,,-
,,-,,,,
"64,573,219",,"34,621,205",,-,,"99,194,424"
-,,-,,-,,"10,197,222"
"99,789,716",,"17,597,229",,-,,"117,386,945"
"1,767,272",,-,,"25,519",,"9,468,702"
"528,395",,"1,322,196",,"1,132,667",,"1,850,591"
"3,239,016",,"1,583,817",,-,,"34,713,341"
-,,"421,939",,"30,060",,-
"475,667,131",,"53,380,947",,-,,"577,505,119"
"4,716,902",,-,,-,,-
-,,"574,177",,-,,-
-,,"19,963",,"79,661,797",,-
-,,-,,-,,-
-,,-,,-,,-
"9,814,501",,"4,273,791",,"618,902",,"19,897,157"
"122,734",,-,,-,,"124,713"
"4,715,935",,"782,983",,"8,104",,"6,695,548"
"11,179,733",,"2,626,271",,"65,794",,"14,501,588"
-,,-,,-,,-
"25,033,106",,"6,425,548",,"278,920",,"31,849,443"
"739,376,221","730,292,814 728,913,837 674,301,720 667,693,686","129,590,385","119,225,458 113,796,756 112,028,747 107,216,724","81,821,763","81,760,916 87,658,488 87,449,661 71,489,036","972,009,256"
