KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"30-Jun-22
Kshs 000
Un-audited","31-Mar-22 31-Dec-21 30-Jun-21
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
8,528,043 9,372,477 7,078,197
22,427,593 27,674,664 44,807,278
2,577,572 2,583,083 -
- - -
99,784,029 88,570,009 72,359,602
- - -
91,405,803 94,334,482 70,731,155
2,126,118 2,065,054 -
2,645,218 4,046,727 5,847,046
7,404,906 4,317,828 13,423,354
- - -
551,160,564 529,280,381 497,927,674
4,834,579 4,303,501 1,911,824
400,253 401,675 600,000
- - -
- - -
10,227,387 10,227,387 11,137,000
9,815,944 9,806,117 9,188,711
118,899 119,523 120,772
4,160,335 3,771,158 4,023,087
19,237,528 18,473,135 15,940,264
- - -
21,625,181 17,047,723 24,786,290","30-Jun-22
Kshs 000
Un-audited","31-Mar-22 31-Dec-21 30-Jun-21
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
1,091,995 1,250,983 940,995
3,378,494 7,722,963 4,081,795
- - -
- - -
33,126,102 33,049,950 33,356,840
303,831 295,081 -
18,193,460 20,024,351 17,696,797
- - -
1,352,457 1,852,529 1,352,368
946,746 496,359 2,622,821
- - 295,415
67,470,096 67,045,738 60,376,595
- - -
682,051 649,876 670,824
24,963 24,963 24,963
- - -
- - -
3,967,622 4,119,087 4,076,935
- - -
555,525 612,378 634,903
3,384,397 3,317,439 2,826,975
- - -
6,021,806 6,081,608 4,675,744","30-Jun-22
Kshs 000
Un-audited","31-Mar-22 31-Dec-21 30-Jun-21
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
92,517 93,053 -
- - -
3,508,306 2,316,966 4,098,375
- - -
87,963,501 87,963,501 79,661,797
- - -
- - -
822,035 614,434 613,219
- - -
5,065 5,571 6,584
44,703 - 1,999
- - -
60,764 3,703 47,748","30-Jun-22
Kshs 000
Un-audited"
"6,737,958",,"1,025,598",,-,,"15,355,954"
"31,537,378",,"3,854,871",,-,,"35,392,249"
"2,146,352",,-,,-,,"7,130,112"
-,,-,,-,,-
"111,436,114",,"25,983,415",,-,,"137,921,025"
-,,"294,984",,-,,"9,326,884"
"88,107,155",,"19,563,681",,-,,"108,330,195"
"2,064,375",,-,,-,,"22,265,848"
"2,181,428",,"4,053,430",,-,,"5,763,232"
"13,547,574",,"975,532",,-,,"44,828,200"
"194,730",,-,,"102,106",,"107,218"
"563,188,212",,"68,958,047",,-,,"730,335,492"
"5,412,330",,-,,"1,404,799",,-
"400,253",,"570,008",,-,,"400,253"
-,,"24,963",,"89,158,501",,-
-,,-,,-,,-
"10,227,387",,-,,-,,"10,666,421"
"9,705,182",,"3,977,222",,"819,446",,"21,631,098"
"118,275",,-,,-,,"123,579"
"3,965,277",,"485,284",,"4,558",,"7,112,689"
"19,882,401",,"3,841,789",,"81,690",,"24,254,069"
-,,-,,-,,-
"16,987,987",,"5,397,800",,"43,507",,"29,163,018"
"887,840,368","858,479,952 826,394,924 779,882,254","139,006,624","140,499,545 146,543,305 133,633,970","91,614,607","92,496,891 90,997,228 84,429,722","1,210,107,536"
,"7,994,240 - -
631,128,521 624,480,440 601,680,391
9,474,922 3,717,079 3,035,488
8,826,476 6,060,540 753,273
- - -
33,314,599 33,621,640 33,191,221
- - -
9,094,891 5,287,663 1,920,732
4,858,749 5,938,471 -
- - -
458,000 458,000 177,000
27,534,923 23,007,626 23,923,622",,"6,995,020 3,496,740 -
98,656,380 106,103,099 99,913,441
9,905,645 10,554,365 7,485,321
5,462,230 7,455,621 7,712,427
- - -
- - 3,237,000
- - -
284,351 215,227 -
274 274 5,681
- - -
- - -
2,812,303 2,353,257 2,634,480",,"- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - 122,095
- - -
- 7,007 -
- - -
617,866 605,261 122,842",
-,,-,,-,,-
"674,828,828",,"112,456,059",,-,,"908,573,107"
"5,240,432",,"2,341,580",,-,,"6,287,472"
"11,668,798",,"4,769,203",,-,,"29,484,193"
-,,-,,-,,-
"35,656,075",,-,,-,,"40,244,123"
-,,-,,-,,-
-,,"178,799",,-,,-
"3,588,745",,274,,"5,156,922",,"5,156,922"
-,,-,,-,,"655,000"
"458,000",,-,,-,,"458,000"
"23,213,938",,"3,028,624",,"309,325",,"37,498,979"
"754,654,816","732,685,321 702,571,459 664,681,727","122,774,539","124,116,203 130,178,583 120,988,350","5,466,247","617,866 612,268 244,937","1,028,357,796"
