Column,Column,KCB KENYA BANK,Column,Column,Column,Column,NATIONAL BANK OF KENYA,Column,Column,Column,Column,KCB GROUP PLC COMPANY,Column,Column,Column,Column,KCB GROUP PLC CONSOLIDATED,Column,Column,Column,Column
,,"30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited","30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited","30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited","30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited"
6,OTHER OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,
,,"11,413,474","7,944,163 3,319,686 8,560,331 5,481,222
9,062,461 5,126,629 18,518,101 13,263,814
245,340 145,992 433,849 430,629
101,230 87,385 185,795 133,980
994,308 529,009 2,169,789 1,625,207
834,307 379,975 1,517,741 1,134,646
6,612,395 3,551,461 12,453,787 8,998,767",,,,"1,468,376","976,657 407,394 2,003,475 870,907
3,197,872 1,303,881 4,694,743 3,551,230
14,291 7,680 35,038 23,403
89,334 45,063 123,551 147,320
276,531 138,332 589,774 461,801
92,378 50,273 285,536 235,087
4,637,317 647,433 2,783,626 1,996,695",,,,-,"- - -
454,305 266,776 1,210,780
26,988 11,850 78,244
- - -
8,791 4,383 15,693
1,019 506 2,026
375,695 193,710 840,816",,,-,"15,848,572",,,,
,,"13,802,708",,,,,"4,391,240",,,,,"770,257",,,,"911,038","26,671,161",,,,
,,"368,561",,,,,"24,365",,,,,"47,400",,,,"55,553","657,661",,,,
,,"121,144",,,,,"128,854",,,,,-,,,,-,"371,246",,,,
,,"1,597,027",,,,,"415,643",,,,,"13,232",,,,"11,434","6,020,884",,,,
,,"1,209,640",,,,,"130,364",,,,,"1,536",,,,"1,519","1,626,139",,,,
,,"10,609,317",,,,,"5,514,840",,,,,"508,266",,,,"407,717","25,472,085",,,,
,,"39,121,871","25,794,204 13,140,137 43,839,393 31,068,265",,,,"12,073,682","9,284,380 2,600,056 10,515,743 7,286,443",,,,"1,340,691","866,798 477,225 2,147,559",,,"1,387,261","76,667,748",,,,
,,"32,474,404","19,175,149 9,212,877 48,910,949 37,084,146",,,,"(3,776,675)","(3,840,623) 122,687 847,630 1,080,754",,,,"506,297","471,366 (111,360) 32,121,795",,,"5,382,180","40,594,108",,,,
,,-,- - - -,,,,-,- - - -,,,,-,- - -,,,-,-,,,,
,,"32,474,404","19,175,149 9,212,877 48,910,949 37,084,146",,,,"(3,776,675)","(3,840,623) 122,687 847,630 1,080,754",,,,"506,297","471,366 (111,360) 32,121,795",,,"5,382,180","40,594,108",,,,
