"KCB GROUP PLC
AUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES FOR THE PERIOD ENDED 31 DECEMBER 2024",Column,Column,Column,Column,Column,Column,Column
,"KCB BANK KENYA
31-Dec-24 31-Dec-23
Kshs 000 Kshs 000
Audited Audited
9,971,074 12,004,831
32,458,420 37,025,707
19,347,443 -
- -
- -
140,000,648 141,142,941
- -
141,931,087 160,391,132
1,962,483 1,962,601
3,449,615 -
91,590,928 222,625,002
- -
736,614,026 740,241,723
10,055,415 8,151,025
837,395 590,558
- -
- -
12,600,607 12,600,607
10,385,132 11,388,392
112,035 114,532
5,080,800 3,155,620
32,215,891 29,773,610
- -
29,153,540 44,201,546",,"NATIONAL BANK OF KENYA KCB GROUP PLC COMPANY
31-Dec-24 31-Dec-23 31-Dec-24 31-Dec-23
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Audited Audited Audited Audited
1,233,390 2,093,761 - -
4,542,088 6,115,301 - -
- - - -
- -
-
21,839,088 23,798,376 - -
295,081 295,081 - -
26,503,116 22,212,977 - -
- - - -
1,352,009 6,095,778 1,388,857 926,902
931,040 2,457,670 - -
255,299 275,374 51,781 113,188
74,869,054 79,483,476 1,061,667 -
104,495 29,692 4,774,550 5,969,547
985,787 989,304 - -
5,000 5,000 114,280,238 114,280,238
- - - -
- - - -
1,468,802 1,890,183 853,679 840,667
- - - -
1,224,663 995,902 8,790 1,491
6,252,428 6,786,926 32,994 77,956
- - - -
6,393,445 7,581,563 377,326 88,959",,,,
,,"31-Dec-23
Kshs 000
Audited
12,004,831
37,025,707
-
-
-
141,142,941
-
160,391,132
1,962,601
-
222,625,002
-
740,241,723
8,151,025
590,558
-
-
12,600,607
11,388,392
114,532
3,155,620
29,773,610
-
44,201,546",,"31-Dec-23
Kshs 000
Audited
2,093,761
6,115,301
-
23,798,376
295,081
22,212,977
-
6,095,778
2,457,670
275,374
79,483,476
29,692
989,304
5,000
-
-
1,890,183
-
995,902
6,786,926
-
7,581,563",,"31-Dec-23
Kshs 000
Audited
-
-
-
-
-
-
-
926,902
-
113,188
-
5,969,547
-
114,280,238
-
-
840,667
-
1,491
77,956
-
88,959",
,"1,277,766,539","1,425,369,827","148,254,785","161,106,364","122,829,882","122,298,948","1,962,320,080"
,"8,005,282
971,960,594
15,538,281
1,010,562
-
54,883,832
9,939,761
4,839,459
-
-
664,000
27,209,331","44,054,813
1,116,875,397
2,841,913
9,571,500
-
75,277,742
1,072,354
1,265,190
-
-
601,000
35,092,114","11,410,270
98,833,762
10,856,485
862,917
-
3,942,610
184,152
-
-
-
-
9,124,874","10,022,068
118,307,630
1,437,359
3,721,647
-
5,509,747
103,494
-
-
-
-
11,431,352","-
-
-
-
-
-
10,271,422
-
-
-
-
899,303","-
-
-
-
-
-
11,170,103
-
-
-
-
625,186","19,415,552
1,381,975,669
15,344,718
8,257,283
-
69,273,344
-
6,454,811
-
1,997,256
664,000
175,956,410"
,"1,094,051,102","1,286,652,023","135,215,070","150,533,297","11,170,725","11,795,289","1,679,339,043"
,"53,986,100
-
-
106,910,200
19,894,269
(3,502,058)
6,426,926
-","53,986,100
-
-
77,018,593
17,609,858
(9,896,747)
-
-","12,683,038
3,141,319
-
(6,178,094)
3,879,265
(485,813)
-
-","12,683,038
3,141,319
-
(6,939,156)
3,647,302
(1,959,436)
-
-","3,213,463
27,690,149
-
75,935,351
-
-
4,820,195
-","3,213,463
27,690,149
-
79,600,047
-
-
-
-","3,213,463
27,690,149
-
243,383,785
20,232,345
(24,450,352)
4,820,195
-"
,"183,715,437","138,717,804","13,039,715","10,573,067","111,659,157","110,503,659","274,889,584"
,-,-,-,-,-,-,"8,091,453"
,"1,277,766,539","1,425,369,827","148,254,785","161,106,364","122,829,882","122,298,948","1,962,320,080"
,"102,617,981
38,935,799
4,092,441
-","74,671,015
32,498,604
2,629,985
-","10,148,513
5,930,914
70,777
35,588","7,590,011
5,642,888
125,673
35,501","-
-
113,112
265,624","-
-
33,709
218,051","153,628,997
50,205,490
9,567,159
-"
,"145,646,221","109,799,604","16,185,792","13,394,073","378,736","251,760","213,401,646"
,"44,711,703
11,832,233
246,087","32,241,049
12,492,319
291,444","3,755,323
2,258,150
420,455","3,912,421
1,186,173
391,432","-
-
310,358","-
-
218,051","55,417,882
20,251,388
386,333"
,"56,790,023","45,024,812","6,433,928","5,490,026","310,358","218,051","76,055,603"
,"88,856,198","64,774,792","9,751,864","7,904,047","68,378","33,709","137,346,043"
,"9,155,085
13,742,423
10,330,863
-
4,568,699","10,072,187
11,644,226
7,276,984
-
4,332,503","132,417
1,539,265
860,271
75,000
128,796","302,143
1,366,559
952,087
51,144
596,877","-
-
(79,654)
7,114,753
1,166,916","-
-
31,446
1,091,168
1,328,965","11,498,021
30,821,599
17,540,153
-
7,660,875"
,"37,797,070","33,325,900","2,735,749","3,268,810","8,202,015","2,451,579","67,520,648"
,"126,653,268","98,100,692","12,487,613","11,172,857","8,270,393","2,485,288","204,866,691"
,"21,493,367
22,143,279
137,423
326,322
2,491,126
1,391,966
20,294,288","25,063,168
19,851,859
488,337
236,405
2,364,178
1,672,743
15,171,823","2,414,003
4,703,585
21,095
105,808
447,069
264,811
3,609,746","3,057,378
5,272,805
25,998
190,589
534,061
162,032
6,207,380","-
826,578
294,830
-
19,789
1,491
1,039,382","-
613,127
348,150
-
17,913
2,054
702,207","29,950,386
39,859,035
813,612
811,939
5,206,428
4,541,387
41,711,277"
,"68,277,771","64,848,513","11,566,117","15,450,243","2,182,070","1,683,451","122,894,064"
,"58,375,497
-","33,252,179
-","921,496
-","(4,277,386)
-","6,088,323
-","801,837
-","81,972,627
-"
,"58,375,497
(18,275,739)
4,929,555","33,252,179
(15,493,212)
7,651,047","921,496
(23,397)
94,925","(4,277,386)
(924,045)
1,859,518","6,088,323
(67,668)
(44,962)","801,837
(1,625)
(31,909)","81,972,627
(25,577,875)
5,379,452"
,"45,029,313
-","25,410,014
-","993,024
-","(3,341,913)
-","5,975,693
-","768,303
-","61,774,204
1,684,851"
,"45,029,313
-
-
8,873,000
8,000
-
(2,487,000)","25,410,014
-
(8,228,538)
84,000
-
2,443,361","993,024
-
2,105,176
-
-
(631,553)","(3,341,913)
-
(1,678,508)
-
-
503,552","5,975,693
-
-
-
-
-","768,303
-
-
-
-
-","60,089,353
-
(17,102,300)
10,801,022
8,000
-
(3,242,707)"
