Financial position,Corporate,Retail,Column,Column,Column,Column
For the year ended,banking,banking,Treasury,Mortgages,Other,Total
,Ksh million,Ksh million,Ksh million,Ksh million,Ksh million,Ksh million
,,"228,275","613,096",-,-,"841,371"
,"594,210","409,827",-,"123,406","24,134","1,151,577"
,-,-,-,-,"154,258","154,258"
,"594,210","638,102","613,096","123,406","178,392","2,147,206"
,"792,530","710,695","42,829","40,375","69,346","1,655,775"
,-,-,"90,151",-,-,"90,151"
,-,-,-,-,"60,725","60,725"
,-,-,-,-,"340,555","340,555"
,"792,530","710,695","132,980","40,375","470,626","2,147,206"
