"KCB GROUP PLC
UN-AUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES FOR THE PERIOD ENDED 31 MARCH 2025",Column,Column,Column,Column,Column,Column,Column
,"KCB BANK KENYA
31-Mar-25 31-Dec-24 31-Mar-24
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
8,653,255 9,971,074 8,477,716
42,616,010 32,458,420 41,177,966
19,010,512 19,347,443 -
- - -
- - -
136,127,951 140,000,648 141,913,697
- -
152,545,760 141,931,087 162,976,441
2,023,547 1,962,483 2,024,175
8,658,808 3,449,615 5,603,872
99,845,093 91,590,928 148,976,787
- -
760,298,000 736,614,026 698,236,955
10,318,647 10,055,415 9,628,304
903,364 837,395 590,558
- - -
- - -
12,600,607 12,600,607 12,600,607
10,981,978 10,385,132 11,002,744
111,411 112,035 113,908
5,082,222 5,080,800 3,153,559
30,417,160 32,215,891 28,481,309
- - -
29,314,268 29,153,540 52,879,872",,"NATIONAL BANK OF KENYA KCB GROUP PLC COMPANY
31-Mar-25 31-Dec-24 31-Mar-24 31-Mar-25 31-Dec-24 31-Mar-24
Kshs 000 Kshs 000 Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited Un-audited Audited Un-audited
1,237,006 1,233,390 1,188,646 - - -
3,780,843 4,542,088 4,308,112 - - -
- - - - - -
- - - - - -
- - - - - -
20,760,915 21,839,088 22,368,159 - - -
303,831 295,081 303,928 - - -
28,722,581 26,503,116 23,221,547 - - -
- - - - -
4,155,896 1,352,009 4,356,609 - - -
1,607,582 931,040 1,106,684 - - -
221,599 255,299 267,867 78,971 51,781 113,188
70,709,607 74,869,054 81,867,746 1,833,890 1,061,667
301,718 104,495 192,714 14,074,293 6,163,407 2,119,548
1,089,673 985,787 888,910 - - -
5,000 5,000 5,000 114,280,238 114,280,238 114,280,238
- - - - - -
- - - - - -
1,406,071 1,468,802 1,780,947 854,151 853,679 866,007
- - - - -
1,414,026 1,224,663 1,292,143 6,936 8,790 979
6,016,342 6,252,428 6,737,478 11,367 32,994 77,956
- - - - - -
7,823,860 6,393,445 7,064,296 314,693 377,326 35,837",,,,
,,"31-Dec-24 31-Mar-24
Kshs 000 Kshs 000
Audited Un-audited
9,971,074 8,477,716
32,458,420 41,177,966
19,347,443 -
- -
- -
140,000,648 141,913,697
-
141,931,087 162,976,441
1,962,483 2,024,175
3,449,615 5,603,872
91,590,928 148,976,787
-
736,614,026 698,236,955
10,055,415 9,628,304
837,395 590,558
- -
- -
12,600,607 12,600,607
10,385,132 11,002,744
112,035 113,908
5,080,800 3,153,559
32,215,891 28,481,309
- -
29,153,540 52,879,872",,"31-Dec-24 31-Mar-24
Kshs 000 Kshs 000
Audited Un-audited
1,233,390 1,188,646
4,542,088 4,308,112
- -
- -
- -
21,839,088 22,368,159
295,081 303,928
26,503,116 23,221,547
-
1,352,009 4,356,609
931,040 1,106,684
255,299 267,867
74,869,054 81,867,746
104,495 192,714
985,787 888,910
5,000 5,000
- -
- -
1,468,802 1,780,947
-
1,224,663 1,292,143
6,252,428 6,737,478
- -
6,393,445 7,064,296",,"31-Dec-24 31-Mar-24
Kshs 000 Kshs 000
Audited Un-audited
- -
- -
- -
- -
- -
- -
- -
- -
- -
- -
- -
51,781 113,188
1,061,667
6,163,407 2,119,548
- -
114,280,238 114,280,238
- -
- -
853,679 866,007
- -
8,790 979
32,994 77,956
- -
377,326 35,837",
,"42,616,010
19,010,512
-",,"3,780,843
-
-",,"-
-
-",,"42,616,011
19,010,512
-"
,"-
136,127,951
-
152,545,760",,"-
20,760,915
303,831
28,722,581",,"-
-
-
-",,"-
136,658,699
85,602,041
153,511,445"
,"2,023,547
8,658,808
99,845,093",,"-
4,155,896
1,607,582",,"-
-
-",,"22,470,585
8,658,808
206,193,726"
,"-
760,298,000
10,318,647
903,364",,"221,599
70,709,607
301,718
1,089,673",,"78,971
1,833,890
14,074,293
-",,"78,971
1,018,573,680
-
903,364"
,"-
-
12,600,607",,"5,000
-
-",,"114,280,238
-
-",,"-
-
14,407,620"
,"10,981,978
111,411
5,082,222
30,417,160",,"1,406,071
-
1,414,026
6,016,342",,"854,151
-
6,936
11,367",,"24,129,793
113,163
14,730,183
31,849,101"
,"-
29,314,268",,"-
7,823,860",,"-
314,693",,"-
203,927,793"
,"1,329,508,593","1,277,766,539 1,327,838,470","149,556,550","148,254,785 156,950,786","131,454,539","122,829,882 117,493,753","2,034,172,570"
,"-
1,007,061,773","8,005,282 55,155,966
971,960,594 997,078,186
15,538,281 10,378,822
1,010,562 6,184,931
-
54,883,832 64,882,049
9,939,761 2,131,625
4,839,459 3,265,060
-
-
664,000 601,000
27,209,331 37,018,978","6,831,509
104,380,006","11,410,270 18,766,735
98,833,762 105,443,195
10,856,485 5,623,098
862,917 944,522
-
3,942,610 4,605,349
184,152 121,615
-
-
-
-
9,124,874 10,282,497","-
-","- -
- -
- -
- -
- -
- -
10,271,422 6,690,378
- -
- -
- -
- -
899,303 521,056","-
1,427,806,512"
,"7,353,130
2,035,270
-",,"9,230,108
1,055,902
-",,"-
-
-",,"10,434,639
14,095,342
-"
,"67,564,429
9,704,135
7,804,510",,"3,879,824
677,840
-",,"-
11,954,650
-",,"81,648,528
-
10,025,235"
,"6,426,926
-
664,000",,"-
-
-",,"-
-
-",,"-
1,859,528
664,000"
,"25,504,168",,"9,681,690",,"572,236",,"182,138,519"
,"1,134,118,341","1,094,051,102 1,176,696,617","135,736,879","135,215,070 145,787,011","12,526,886","11,170,725 7,211,434","1,728,672,303"
,,"53,986,100 53,986,100
-
-
106,910,200 97,198,486
19,894,269 8,599,833
(3,502,058) (8,642,566)
6,426,926
-",,"12,683,038 12,683,038
3,141,319 3,141,319
-
(6,178,094) (5,904,116)
3,879,265 3,056,479
(485,813) (1,812,945)
-
-",,"3,213,463 3,213,463
27,690,149 27,690,149
-
75,935,351 79,378,707
-
-
4,820,195
-",
,"53,986,100
-
-
119,753,802",,"12,683,038
3,141,319
-
(5,938,341)",,"3,213,463
27,690,149
-
83,203,846",,"3,213,463
27,690,149
-
262,116,490"
,"17,821,204
3,829,146
-",,"3,873,688
59,967
-",,"-
-
4,820,195",,"17,589,990
(18,345,152)
4,820,195"
,-,,-,,-,,-
,"195,390,252","183,715,437 151,141,853","13,819,671","13,039,715 11,163,775","118,927,653","111,659,157 110,282,319","297,085,135"
,-,-,-,-,-,-,"8,415,132"
,"1,329,508,593","1,277,766,539 1,327,838,470","149,556,550","148,254,785 156,950,786","131,454,539","122,829,882 117,493,753","2,034,172,570"
,,"102,617,981 22,195,431
38,935,799 10,667,203
4,092,441 1,266,489
-",,"10,148,513 2,352,783
5,930,914 1,471,620
70,777 35,105
35,588 8,846",,"- -
- -
- -
378,736 86,206",
,"24,300,473
9,291,507",,"2,256,210
1,450,309",,"-
-",,"35,459,231
12,270,033"
,"657,026
-",,"27,714
8,749",,"-
137,555",,"2,456,185
-"
,"34,249,006","145,646,221 34,129,123","3,742,982","16,185,792 3,868,354","137,555","378,736 86,206","50,185,449"
,,"44,711,703 10,424,954
11,832,233 3,133,340
246,087 64,227",,"3,755,323 1,090,499
2,258,150 295,545
420,455 100,806",,"- -
- -
310,358 73,037",
,"10,308,212
1,409,800",,"792,779
463,128",,"-
-",,"12,899,810
3,457,378"
,"82,644",,"92,501",,"85,231",,"109,007"
,"11,800,656","56,790,023 13,622,521","1,348,408","6,433,928 1,486,850","85,231","310,358 73,037","16,466,195"
,"22,448,350","88,856,198 20,506,602","2,394,574","9,751,864 2,381,504","52,324","68,378 13,169","33,719,254"
,,"9,155,085 2,120,661
13,742,423 3,327,555
10,330,863 4,006,299
-
4,568,699 789,350",,"132,417 90,694
1,539,265 439,200
860,271 378,538
75,000
128,796 (21,784)",,"- -
- -
(79,654) (168,141)
7,114,753 -
1,166,916 251,474",
,"2,487,251
3,326,010
1,710,658",,"96,270
267,921
107,168",,"-
-
(4,133)",,"3,021,362
7,055,888
3,132,905"
,"-
1,553,823",,"-
184,902",,"7,252,902
518,831",,"-
2,512,251"
,"9,077,742","37,797,070 10,243,865","656,261","2,735,749 886,648","7,767,600","8,202,015 83,333","15,722,406"
,"31,526,092","126,653,268 30,750,467","3,050,835","12,487,613 3,268,152","7,819,924","8,270,393 96,502","49,441,660"
