Name,Category,Salary,"Directors
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs'000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"Chairman,
Non-Executive",-,393,720,640,56,"1,809"
,"Former Chairman,
Non-Executive",-,207,420,320,28,975
,"Managing
Director & CEO","19,938",-,-,-,-,"19,938"
,Non-Executive,-,600,-,-,-,600
,Non-Executive,-,600,60,-,-,660
,Non-Executive,-,207,460,-,-,667
,Non-Executive,-,488,"1,280",-,-,"1,768"
,Non-Executive,-,488,"1,220",-,-,"1,708"
,Non-Executive,-,600,"1,100",-,-,"1,700"
,Non-Executive,-,600,"1,240",-,-,"1,840"
,Non-Executive,-,600,"1,020",-,-,"1,620"
,Non-Executive,-,488,"1,140",-,-,"1,628"
,Non-Executive,-,393,"1,020",-,-,"1,413"
,Non-Executive,-,112,320,-,-,432
,Non-Executive,-,112,360,-,-,472
,Non-Executive,-,112,280,-,-,392
,Non-Executive,-,-,"1,180",-,-,"1,180"
,Non-Executive,-,-,"1,120",-,-,"1,120"
,,"19,938","6,000","12,940",960,84,"39,922"
