No.,Names,No. of Shares,Shareholding
1,Cabinet Secretary - The National Treasury,"4,615,424,088",69.99%
2,Stanbic Nominees Limited,"495,348,189",7.51%
3,Stanbic Nominees Limited,"172,150,600",2.61%
4,Standard Chartered Nominees Ltd A/C Ke002339,"120,000,000",1.82%
5,Standard Chartered Nominees Resd A/C Ke11450,"64,702,437",0.98%
6,Stanbic Nominees Limited R6631578,"60,000,000",0.91%
7,Standard Chartered Nominees Resd A/C Ke11443,"40,163,194",0.61%
8,Standard Chartered Nominees Resd A/C Ke11401,"33,300,380",0.50%
9,"Mavji, Ramila Harji","31,410,100",0.48%
10,Shah Mansukhlal Khetshi Dharamshi;Shah Vijayaben Mansukhlal Khetshi,"15,184,600",0.23%
,"Others - 190,501","946,838,751",14.36%
,Grand Total,"6,594,522,339",100.00%
