Name,"Category & Period
of Service",Salary,"Directors
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs’000,Shs’000,Shs’000,Shs ‘000,Shs ‘000,Shs ‘000
Julius Migos Ogamba,"Chairman (retired 8
August, 2024)",-,600,"1,860",960,84,"3,504"
Prof. Njuguna Ndung’u,"Non-Executive
(Cabinet Secretary:
National Treasury)",-,600,-,-,-,600
Alex Wachira,"Non-Executive
(Principal Secretary,
Ministry of Energy)",-,600,60,-,-,660
Josephine Koisaba,Non-Executive,-,600,"1,660",-,-,"2,260"
William Rahedi,Non-Executive,-,600,"1,620",-,-,"2,220"
"Hon. Mutai Stephen
Kipkoech",Non-Executive,-,600,"1,710",-,-,"2,310"
"Dr. Rosemarie Wairimu
Wanyoike",Non-Executive,-,600,"1,600",-,-,"2,200"
Frank Konuche,"Non-Executive-
Elected as a Director
at the AGM on 30
November 2023
(Appointed by the
Board of Directors
on 28 October as
the Chairman of the
Board until the 2024
AGM)",-,350,960,-,-,"1,310"
Umuro Wario,"Non-Executive-
(Appointed on 1st,
December, 2023)",-,350,900,-,-,"1,250"
Benard Ngugi,"Non-Executive-
(Appointed on 1st,
December, 2023)",-,350,"1,020",-,-,"1,370"
Chrisologus Makokha,"(Appointed on 26th
January, 2023)",-,-,"1,140",-,-,"1,140"
Kennedy Ondieki,"(Alternate to CS
National Treasury &
Planning : Appointed
on 30th April, 2024)",-,-,120,-,-,120
Chrispin O. Lupe,"(Alternate to PS
Ministry of Energy
: Appointed on 6th
May, 2024)",-,-,140,-,-,140
James Opindi,"Non-Executive
(Retired on 30th
November, 2023)",-,250,840,-,-,"1,090"
