Audited,Audited,Audited
"Short term
Business","Long term
Business",Total
2021,2021,2021
KShs ’000,KShs ’000,KShs ’000
"6,499,491","500,000","6,999,491"
"28,992",-,"28,992"
"(438,736)","(54,229)","(492,965)"
"744,887",-,"744,887"
-,"7,601,074","7,601,074"
"21,788,123",-,"21,788,123"
"28,622,757","8,046,845","36,669,602"
"41,489",-,"41,489"
"17,646","95,157","112,803"
"780,537",-,"780,537"
"10,517,225","1,732,775","12,250,000"
"6,770,334",-,"6,770,334"
"2,630,947",-,"2,630,947"
-,-,-
"194,248",-,"194,248"
"45,329",-,"45,329"
