DIRECTOR,CATEGORY,"GROSS
PAYMENTS","DIRECTOR
FEES",ALLOWANCES,TOTAL
,,KShs,KShs,KShs,KShs
Catherine Kimura,"Chairman, Non-Executive",,"514,667","872,710","1,387,377"
Jadiah Mwarania,Managing Director,"32,369,834",-,"460,000","32,829,834"
Michael O Monari,Non -Executive,-,"1,920,000","862,000","2,782,000"
James Kirika,Non -Executive,-,"1,600,000","1,162,000","2,762,000"
David Muthusi,Non -Executive,-,"1,880,000","682,000","2,562,000"
Peter Ole Nkuraiya,Non -Executive,-,"1,920,000","1,080,000","3,000,000"
Thamuda Hassan,Non -Executive,-,"1,920,000","800,000","2,720,000"
Eric Gumbo,Non -Executive,-,"1,920,000","940,000","2,860,000"
Erick Korir,Non -Executive,-,"480,000","580,000","1,060,000"
James Wangombe,Non -Executive,-,-,"320,000","320,000"
Robert Waruiru,Non -Executive,-,"514,667","462,000","976,667"
Eunice Nyala,Non -Executive,-,"514,667","420,000","934,667"
Nasra Ibrahim Ibren,Non -Executive,-,"170,520","100,000","270,520"
Jasper Mugambi,Non -Executive,-,"965,333","480,000","1,445,333"
Jennifer Karina,"Chairman, Non-Executive",-,"445,333","1,113,300","1,558,633"
"Cabinet Secretary - The
National Treasury",Non -Executive,-,"960,000",-,"960,000"
TOTAL,,"32,369,834","15,725,187","10,334,010","58,429,031"
