Column,Column,"2021
Kshs.
14,423,623,649
349,126,950
(1,233,864,533)
-
-",Column,"2020
Kshs.
13,434,352,514
542,391,045
(1,884,648,957)
1,027,090,888
(49,500)"
,,"13,538,886,066",,"13,119,135,990"
,,"(422,140,513)
(4,450,288,371)",,"(507,537,083)
-
5,655,174
(102,995,299)
(709,819,411)"
"Purchase of property, plant and equipment",17(a),,,
Exceptional Capital expenditure,17(b),,,
"Proceeds from disposal of property, plant and equipment",,,-,"5,655,174"
,,"-
(128,427,340)",,
,,"(5,000,856,224)",,"(1,314,696,619)"
,,"-
(2,700,000,000)
(4,681,220,323)
(7,381,220,323)",,"-
(11,800,000,000)
(4,482,248,321)
(16,282,248,321)"
,,"1,156,809,519
8,391,443,008",,"(4,477,808,951)
12,869,251,959"
,,"9,548,252,527",,"8,391,443,008"
